"","applied_amount","measurement_unit","applied_date","applied_year","practice_code","practice_name","program","land_use","land_unit_id","land_unit_acres","huc12","affiliate_type","land_unit_has_multiple_instances_of_same_practice_code","land_unit_has_multiple_instances_of_same_practice_code_applied_the_same_year","duplicates_id_yr_code","duplicates_id_yr_code_amt","flagged_for_removal"
"1",15.5,"Ac",2021-09-27,2021,"327","Conservation Cover","CRP","Crop","{0004EB45-C90F-4AD5-884A-327B33E14518}",15.5,"170601070807","NRCS","yes","yes",1,1,0
"2",15.5,"Ac",2021-09-27,2021,"472","Access Control","CRP","Crop","{0004EB45-C90F-4AD5-884A-327B33E14518}",15.5,"170601070807","NRCS","no","no",1,1,0
"3",21,"Ac",2022-07-05,2022,"327","Conservation Cover","CTA-GENRL","Crop","{001A99B8-A26D-44F8-9379-50F42F27B1A1}",21,"170701020307","NRCS","yes","yes",1,1,0
"4",21,"Ac",2022-07-05,2022,"472","Access Control","CTA-GENRL","Crop","{001A99B8-A26D-44F8-9379-50F42F27B1A1}",21,"170701020307","NRCS","yes","yes",1,1,0
"5",257,"Ac",2010-09-27,2010,"327","Conservation Cover","CRP","Crop","{006145D2-E301-4950-91AB-11F5203D9816}",257,"170601100101","NRCS","no","no",1,1,0
"6",257,"Ac",2010-09-27,2010,"472","Access Control","CRP","Crop","{006145D2-E301-4950-91AB-11F5203D9816}",257,"170601100101","NRCS","no","no",1,1,0
"7",257,"Ac",2010-09-27,2010,"645","Upland Wildlife Habitat Management","CRP","Crop","{006145D2-E301-4950-91AB-11F5203D9816}",257,"170601100101","NRCS","no","no",1,1,0
"8",94.6,"Ac",2010-11-01,2011,"590","Nutrient Management","EQIP","Crop","{0077CD11-44C2-4EE9-9395-8EEA2639AEE7}",94.6,"170701020601","NRCS","yes","no",1,1,0
"9",94.6,"Ac",2011-11-15,2012,"590","Nutrient Management","EQIP","Crop","{0077CD11-44C2-4EE9-9395-8EEA2639AEE7}",94.6,"170701020601","NRCS","yes","no",1,1,0
"10",94.6,"Ac",2008-12-02,2009,"595","Pest Management Conservation System","EQIP","Crop","{0077CD11-44C2-4EE9-9395-8EEA2639AEE7}",94.6,"170701020601","NRCS","yes","no",1,1,0
"11",94.6,"Ac",2010-04-27,2010,"595","Pest Management Conservation System","EQIP","Crop","{0077CD11-44C2-4EE9-9395-8EEA2639AEE7}",94.6,"170701020601","NRCS","yes","no",1,1,0
"12",3.6,"Ac",2015-05-06,2015,"327","Conservation Cover","CRP","Crop","{0089CDD9-FE41-43B8-9B21-B86D3CCAC6F7}",3.6,"170601100102","NRCS","yes","yes",1,1,0
"13",3.6,"Ac",2011-10-06,2012,"472","Access Control","CRP","Crop","{0089CDD9-FE41-43B8-9B21-B86D3CCAC6F7}",3.6,"170601100102","NRCS","no","no",1,1,0
"14",3.6,"Ac",2011-10-06,2012,"595","Pest Management Conservation System","CRP","Crop","{0089CDD9-FE41-43B8-9B21-B86D3CCAC6F7}",3.6,"170601100102","NRCS","no","no",1,1,0
"15",3.6,"Ac",2015-05-06,2015,"645","Upland Wildlife Habitat Management","CRP","Crop","{0089CDD9-FE41-43B8-9B21-B86D3CCAC6F7}",3.6,"170601100102","NRCS","no","no",1,1,0
"16",0.7,"Ac",2010-10-30,2011,"327","Conservation Cover","CRP","Associated Ag Land","{009F1443-A02B-4C98-8376-CC177C79A786}",0.7,"170701020402","NRCS","yes","no",1,1,0
"17",0.7,"Ac",2016-10-30,2017,"327","Conservation Cover","CRP","Associated Ag Land","{009F1443-A02B-4C98-8376-CC177C79A786}",0.7,"170701020402","NRCS","yes","no",1,1,0
"18",0.7,"Ac",2010-10-30,2011,"472","Access Control","CRP","Associated Ag Land","{009F1443-A02B-4C98-8376-CC177C79A786}",0.7,"170701020402","NRCS","no","no",1,1,0
"19",0.7,"Ac",2010-10-30,2011,"645","Upland Wildlife Habitat Management","CRP","Associated Ag Land","{009F1443-A02B-4C98-8376-CC177C79A786}",0.7,"170701020402","NRCS","no","no",1,1,0
"20",33.4,"Ac",2014-10-30,2015,"328","Conservation Crop Rotation","CStwP","Crop","{00B45097-79DE-4B4D-9BF5-D2B01B519174}",33.4,"170601070806","NRCS","yes","no",1,1,0
"21",33.4,"Ac",2015-10-30,2016,"328","Conservation Crop Rotation","CStwP","Crop","{00B45097-79DE-4B4D-9BF5-D2B01B519174}",33.4,"170601070806","NRCS","yes","no",1,1,0
"22",33.4,"Ac",2016-10-30,2017,"328","Conservation Crop Rotation","CStwP","Crop","{00B45097-79DE-4B4D-9BF5-D2B01B519174}",33.4,"170601070806","NRCS","yes","yes",1,1,0
"23",33.4,"Ac",2014-10-30,2015,"AIR04","Use drift reducing nozzles, low pressures, lower boom height and adjuvants to reduce pesticide drift","CStwP","Crop","{00B45097-79DE-4B4D-9BF5-D2B01B519174}",33.4,"170601070806","NRCS","yes","no",1,1,0
"24",33.4,"Ac",2015-10-30,2016,"AIR04","Use drift reducing nozzles, low pressures, lower boom height and adjuvants to reduce pesticide drift","CStwP","Crop","{00B45097-79DE-4B4D-9BF5-D2B01B519174}",33.4,"170601070806","NRCS","yes","no",1,1,0
"25",33.4,"Ac",2017-01-12,2017,"AIR04","Use drift reducing nozzles, low pressures, lower boom height and adjuvants to reduce pesticide drift","CStwP","Crop","{00B45097-79DE-4B4D-9BF5-D2B01B519174}",33.4,"170601070806","NRCS","yes","yes",1,1,0
"26",33.4,"Ac",2014-10-30,2015,"AIR07","GPS, targeted spray application (SmartSprayer), or other chemical application electronic control tec","CStwP","Crop","{00B45097-79DE-4B4D-9BF5-D2B01B519174}",33.4,"170601070806","NRCS","yes","no",1,1,0
"27",33.4,"Ac",2015-10-30,2016,"AIR07","GPS, targeted spray application (SmartSprayer), or other chemical application electronic control tec","CStwP","Crop","{00B45097-79DE-4B4D-9BF5-D2B01B519174}",33.4,"170601070806","NRCS","yes","no",1,1,0
"28",33.4,"Ac",2016-10-30,2017,"AIR07","GPS, targeted spray application (SmartSprayer), or other chemical application electronic control tec","CStwP","Crop","{00B45097-79DE-4B4D-9BF5-D2B01B519174}",33.4,"170601070806","NRCS","yes","yes",1,1,0
