Result,QUALITY,QUALITY_KEY,Date,Year,Month
-21.69,1,Good quality REVIEWED data,2002-05-31,2002,May
-21.75,1,Good quality REVIEWED data,2002-06-01,2002,Jun
-21.81,1,Good quality REVIEWED data,2002-06-02,2002,Jun
-21.86,1,Good quality REVIEWED data,2002-06-03,2002,Jun
-21.9,1,Good quality REVIEWED data,2002-06-04,2002,Jun
-21.94,1,Good quality REVIEWED data,2002-06-05,2002,Jun
-21.97,1,Good quality REVIEWED data,2002-06-06,2002,Jun
-21.99,1,Good quality REVIEWED data,2002-06-07,2002,Jun
-22,1,Good quality REVIEWED data,2002-06-08,2002,Jun
-22,1,Good quality REVIEWED data,2002-06-09,2002,Jun
-21.94,1,Good quality REVIEWED data,2002-06-10,2002,Jun
-22.01,1,Good quality REVIEWED data,2002-06-11,2002,Jun
-22.06,1,Good quality REVIEWED data,2002-06-12,2002,Jun
-22.08,1,Good quality REVIEWED data,2002-06-13,2002,Jun
-22.08,1,Good quality REVIEWED data,2002-06-14,2002,Jun
-22.09,1,Good quality REVIEWED data,2002-06-15,2002,Jun
-22.11,1,Good quality REVIEWED data,2002-06-16,2002,Jun
-22.16,1,Good quality REVIEWED data,2002-06-17,2002,Jun
-22.07,1,Good quality REVIEWED data,2002-06-18,2002,Jun
-22.13,1,Good quality REVIEWED data,2002-06-19,2002,Jun
-22.21,1,Good quality REVIEWED data,2002-06-20,2002,Jun
-22.28,1,Good quality REVIEWED data,2002-06-21,2002,Jun
-22.33,1,Good quality REVIEWED data,2002-06-22,2002,Jun
-22.39,1,Good quality REVIEWED data,2002-06-23,2002,Jun
-22.43,77,"Estimated from another station, same variable",2002-06-24,2002,Jun
-22.48,77,"Estimated from another station, same variable",2002-06-25,2002,Jun
-22.5,77,"Estimated from another station, same variable",2002-06-26,2002,Jun
-22.51,77,"Estimated from another station, same variable",2002-06-27,2002,Jun
-22.53,1,Good quality REVIEWED data,2002-06-28,2002,Jun
-22.42,1,Good quality REVIEWED data,2002-06-29,2002,Jun
-22.47,1,Good quality REVIEWED data,2002-06-30,2002,Jun
-22.55,1,Good quality REVIEWED data,2002-07-01,2002,Jul
-22.59,1,Good quality REVIEWED data,2002-07-02,2002,Jul
-22.62,1,Good quality REVIEWED data,2002-07-03,2002,Jul
-22.64,1,Good quality REVIEWED data,2002-07-04,2002,Jul
-22.63,1,Good quality REVIEWED data,2002-07-05,2002,Jul
-22.64,1,Good quality REVIEWED data,2002-07-06,2002,Jul
-22.66,1,Good quality REVIEWED data,2002-07-07,2002,Jul
-22.66,1,Good quality REVIEWED data,2002-07-08,2002,Jul
-22.69,1,Good quality REVIEWED data,2002-07-09,2002,Jul
-22.71,1,Good quality REVIEWED data,2002-07-10,2002,Jul
-22.74,1,Good quality REVIEWED data,2002-07-11,2002,Jul
-22.75,1,Good quality REVIEWED data,2002-07-12,2002,Jul
-22.77,1,Good quality REVIEWED data,2002-07-13,2002,Jul
-22.79,1,Good quality REVIEWED data,2002-07-14,2002,Jul
-22.81,1,Good quality REVIEWED data,2002-07-15,2002,Jul
-22.83,1,Good quality REVIEWED data,2002-07-16,2002,Jul
-22.84,77,"Estimated from another station, same variable",2002-07-17,2002,Jul
-22.86,77,"Estimated from another station, same variable",2002-07-18,2002,Jul
-22.87,77,"Estimated from another station, same variable",2002-07-19,2002,Jul
-22.86,77,"Estimated from another station, same variable",2002-07-20,2002,Jul
-22.88,77,"Estimated from another station, same variable",2002-07-21,2002,Jul
-22.9,77,"Estimated from another station, same variable",2002-07-22,2002,Jul
-22.93,77,"Estimated from another station, same variable",2002-07-23,2002,Jul
-22.94,77,"Estimated from another station, same variable",2002-07-24,2002,Jul
-22.92,1,Good quality REVIEWED data,2002-07-25,2002,Jul
-22.9,1,Good quality REVIEWED data,2002-07-26,2002,Jul
-22.91,1,Good quality REVIEWED data,2002-07-27,2002,Jul
-22.93,1,Good quality REVIEWED data,2002-07-28,2002,Jul
-22.95,1,Good quality REVIEWED data,2002-07-29,2002,Jul
-22.97,1,Good quality REVIEWED data,2002-07-30,2002,Jul
-22.99,1,Good quality REVIEWED data,2002-07-31,2002,Jul
-23,1,Good quality REVIEWED data,2002-08-01,2002,Aug
-23,1,Good quality REVIEWED data,2002-08-02,2002,Aug
-22.99,1,Good quality REVIEWED data,2002-08-03,2002,Aug
-22.97,1,Good quality REVIEWED data,2002-08-04,2002,Aug
-22.93,1,Good quality REVIEWED data,2002-08-05,2002,Aug
-22.94,1,Good quality REVIEWED data,2002-08-06,2002,Aug
-22.95,1,Good quality REVIEWED data,2002-08-07,2002,Aug
-22.98,1,Good quality REVIEWED data,2002-08-08,2002,Aug
-22.99,1,Good quality REVIEWED data,2002-08-09,2002,Aug
-23,1,Good quality REVIEWED data,2002-08-10,2002,Aug
-22.99,1,Good quality REVIEWED data,2002-08-11,2002,Aug
-23,1,Good quality REVIEWED data,2002-08-12,2002,Aug
-23.02,1,Good quality REVIEWED data,2002-08-13,2002,Aug
-23.03,1,Good quality REVIEWED data,2002-08-14,2002,Aug
-23.02,1,Good quality REVIEWED data,2002-08-15,2002,Aug
-23.02,1,Good quality REVIEWED data,2002-08-16,2002,Aug
-23.03,1,Good quality REVIEWED data,2002-08-17,2002,Aug
-23.03,1,Good quality REVIEWED data,2002-08-18,2002,Aug
-23.01,1,Good quality REVIEWED data,2002-08-19,2002,Aug
-23.02,1,Good quality REVIEWED data,2002-08-20,2002,Aug
-23,1,Good quality REVIEWED data,2002-08-21,2002,Aug
-22.96,1,Good quality REVIEWED data,2002-08-22,2002,Aug
-22.95,1,Good quality REVIEWED data,2002-08-23,2002,Aug
-22.98,1,Good quality REVIEWED data,2002-08-24,2002,Aug
-22.99,1,Good quality REVIEWED data,2002-08-25,2002,Aug
-22.99,1,Good quality REVIEWED data,2002-08-26,2002,Aug
