Result,QUALITY,QUALITY_KEY,Date,Year,Month
13.5,1,Good quality REVIEWED data,2002-05-31,2002,May
12.4,1,Good quality REVIEWED data,2002-06-01,2002,Jun
13.5,1,Good quality REVIEWED data,2002-06-02,2002,Jun
14.9,1,Good quality REVIEWED data,2002-06-03,2002,Jun
15.6,1,Good quality REVIEWED data,2002-06-04,2002,Jun
15.5,1,Good quality REVIEWED data,2002-06-05,2002,Jun
14,1,Good quality REVIEWED data,2002-06-06,2002,Jun
11.7,1,Good quality REVIEWED data,2002-06-07,2002,Jun
10.7,1,Good quality REVIEWED data,2002-06-08,2002,Jun
10.3,1,Good quality REVIEWED data,2002-06-09,2002,Jun
12.1,1,Good quality REVIEWED data,2002-06-10,2002,Jun
14.5,1,Good quality REVIEWED data,2002-06-11,2002,Jun
16.2,1,Good quality REVIEWED data,2002-06-12,2002,Jun
17.3,1,Good quality REVIEWED data,2002-06-13,2002,Jun
18.1,1,Good quality REVIEWED data,2002-06-14,2002,Jun
19,1,Good quality REVIEWED data,2002-06-15,2002,Jun
18.2,1,Good quality REVIEWED data,2002-06-16,2002,Jun
15.6,1,Good quality REVIEWED data,2002-06-17,2002,Jun
15,1,Good quality REVIEWED data,2002-06-18,2002,Jun
15.5,1,Good quality REVIEWED data,2002-06-19,2002,Jun
17.2,1,Good quality REVIEWED data,2002-06-20,2002,Jun
18,1,Good quality REVIEWED data,2002-06-21,2002,Jun
18.8,1,Good quality REVIEWED data,2002-06-22,2002,Jun
19.2,1,Good quality REVIEWED data,2002-06-23,2002,Jun
19.9,1,Good quality REVIEWED data,2002-06-28,2002,Jun
19.4,1,Good quality REVIEWED data,2002-06-29,2002,Jun
18.6,1,Good quality REVIEWED data,2002-06-30,2002,Jun
18.9,1,Good quality REVIEWED data,2002-07-01,2002,Jul
18.9,1,Good quality REVIEWED data,2002-07-02,2002,Jul
18.3,1,Good quality REVIEWED data,2002-07-03,2002,Jul
17,1,Good quality REVIEWED data,2002-07-04,2002,Jul
17.5,1,Good quality REVIEWED data,2002-07-05,2002,Jul
19,1,Good quality REVIEWED data,2002-07-06,2002,Jul
20.4,1,Good quality REVIEWED data,2002-07-07,2002,Jul
20.1,1,Good quality REVIEWED data,2002-07-08,2002,Jul
19.9,1,Good quality REVIEWED data,2002-07-09,2002,Jul
21.9,1,Good quality REVIEWED data,2002-07-10,2002,Jul
23.8,1,Good quality REVIEWED data,2002-07-11,2002,Jul
24.7,1,Good quality REVIEWED data,2002-07-12,2002,Jul
24.7,1,Good quality REVIEWED data,2002-07-13,2002,Jul
22.5,1,Good quality REVIEWED data,2002-07-14,2002,Jul
22.1,1,Good quality REVIEWED data,2002-07-15,2002,Jul
23.1,1,Good quality REVIEWED data,2002-07-16,2002,Jul
24,1,Good quality REVIEWED data,2002-07-25,2002,Jul
22.4,1,Good quality REVIEWED data,2002-07-26,2002,Jul
20.9,1,Good quality REVIEWED data,2002-07-27,2002,Jul
21.3,1,Good quality REVIEWED data,2002-07-28,2002,Jul
22.2,1,Good quality REVIEWED data,2002-07-29,2002,Jul
22.2,1,Good quality REVIEWED data,2002-07-30,2002,Jul
20.5,1,Good quality REVIEWED data,2002-07-31,2002,Jul
20,1,Good quality REVIEWED data,2002-08-01,2002,Aug
20,1,Good quality REVIEWED data,2002-08-02,2002,Aug
19.3,1,Good quality REVIEWED data,2002-08-03,2002,Aug
17.3,1,Good quality REVIEWED data,2002-08-04,2002,Aug
17.3,1,Good quality REVIEWED data,2002-08-05,2002,Aug
17.1,1,Good quality REVIEWED data,2002-08-06,2002,Aug
17.3,1,Good quality REVIEWED data,2002-08-07,2002,Aug
18.4,1,Good quality REVIEWED data,2002-08-08,2002,Aug
19.5,1,Good quality REVIEWED data,2002-08-09,2002,Aug
20.9,1,Good quality REVIEWED data,2002-08-10,2002,Aug
20.5,1,Good quality REVIEWED data,2002-08-11,2002,Aug
20.3,1,Good quality REVIEWED data,2002-08-12,2002,Aug
21,1,Good quality REVIEWED data,2002-08-13,2002,Aug
21.3,1,Good quality REVIEWED data,2002-08-14,2002,Aug
21.2,1,Good quality REVIEWED data,2002-08-15,2002,Aug
20.3,1,Good quality REVIEWED data,2002-08-16,2002,Aug
19,1,Good quality REVIEWED data,2002-08-17,2002,Aug
19.2,1,Good quality REVIEWED data,2002-08-18,2002,Aug
19,1,Good quality REVIEWED data,2002-08-19,2002,Aug
18.2,1,Good quality REVIEWED data,2002-08-20,2002,Aug
17.3,1,Good quality REVIEWED data,2002-08-21,2002,Aug
18.6,1,Good quality REVIEWED data,2002-08-22,2002,Aug
19,1,Good quality REVIEWED data,2002-08-23,2002,Aug
19.5,1,Good quality REVIEWED data,2002-08-24,2002,Aug
19.5,1,Good quality REVIEWED data,2002-08-25,2002,Aug
19.5,1,Good quality REVIEWED data,2002-08-26,2002,Aug
20.4,1,Good quality REVIEWED data,2002-08-27,2002,Aug
20.8,1,Good quality REVIEWED data,2002-08-28,2002,Aug
20.9,1,Good quality REVIEWED data,2002-08-29,2002,Aug
19.9,1,Good quality REVIEWED data,2002-08-30,2002,Aug
19.3,1,Good quality REVIEWED data,2002-08-31,2002,Aug
19,1,Good quality REVIEWED data,2002-09-01,2002,Sep
19,1,Good quality REVIEWED data,2002-09-02,2002,Sep
15.1,1,Good quality REVIEWED data,2002-09-19,2002,Sep
15.3,1,Good quality REVIEWED data,2002-09-20,2002,Sep
13.4,1,Good quality REVIEWED data,2002-09-21,2002,Sep
13,1,Good quality REVIEWED data,2002-09-22,2002,Sep
13.4,1,Good quality REVIEWED data,2002-09-23,2002,Sep
13.7,1,Good quality REVIEWED data,2002-09-24,2002,Sep
13.4,1,Good quality REVIEWED data,2002-09-25,2002,Sep
12.9,1,Good quality REVIEWED data,2002-09-26,2002,Sep
13.9,1,Good quality REVIEWED data,2002-09-27,2002,Sep
13.3,1,Good quality REVIEWED data,2002-09-28,2002,Sep
12.2,1,Good quality REVIEWED data,2002-09-29,2002,Sep
10.9,1,Good quality REVIEWED data,2002-09-30,2002,Sep
10.9,1,Good quality REVIEWED data,2002-10-01,2002,Oct
10.3,1,Good quality REVIEWED data,2002-10-02,2002,Oct
11.4,1,Good quality REVIEWED data,2002-10-03,2002,Oct
12.8,1,Good quality REVIEWED data,2002-10-04,2002,Oct
13.1,1,Good quality REVIEWED data,2002-10-05,2002,Oct
13.1,1,Good quality REVIEWED data,2002-10-06,2002,Oct
13.2,1,Good quality REVIEWED data,2002-10-07,2002,Oct
12.1,1,Good quality REVIEWED data,2002-10-08,2002,Oct
11.8,1,Good quality REVIEWED data,2002-10-09,2002,Oct
10.7,1,Good quality REVIEWED data,2002-10-10,2002,Oct
9.4,1,Good quality REVIEWED data,2002-10-11,2002,Oct
8,1,Good quality REVIEWED data,2002-10-12,2002,Oct
8.7,1,Good quality REVIEWED data,2002-10-17,2002,Oct
8.7,1,Good quality REVIEWED data,2002-10-18,2002,Oct
9.4,1,Good quality REVIEWED data,2002-10-19,2002,Oct
10.2,1,Good quality REVIEWED data,2002-10-20,2002,Oct
10.2,1,Good quality REVIEWED data,2002-10-21,2002,Oct
9.4,1,Good quality REVIEWED data,2002-10-22,2002,Oct
7.3,1,Good quality REVIEWED data,2002-10-23,2002,Oct
6.1,1,Good quality REVIEWED data,2002-10-24,2002,Oct
5.4,1,Good quality REVIEWED data,2002-10-25,2002,Oct
5,1,Good quality REVIEWED data,2002-10-26,2002,Oct
4.6,1,Good quality REVIEWED data,2002-10-27,2002,Oct
7.2,1,Good quality REVIEWED data,2002-10-28,2002,Oct
6.3,1,Good quality REVIEWED data,2002-10-29,2002,Oct
2.7,1,Good quality REVIEWED data,2002-10-30,2002,Oct
0.9,1,Good quality REVIEWED data,2002-10-31,2002,Oct
0.5,1,Good quality REVIEWED data,2002-11-01,2002,Nov
0.8,1,Good quality REVIEWED data,2002-11-02,2002,Nov
1.1,82,Linear interpolation across gap in records.,2002-11-03,2002,Nov
1.3,1,Good quality REVIEWED data,2002-11-04,2002,Nov
2.4,1,Good quality REVIEWED data,2002-11-05,2002,Nov
2.8,1,Good quality REVIEWED data,2002-11-06,2002,Nov
5,1,Good quality REVIEWED data,2002-11-07,2002,Nov
7.4,1,Good quality REVIEWED data,2002-11-08,2002,Nov
7.1,1,Good quality REVIEWED data,2002-11-09,2002,Nov
7.1,1,Good quality REVIEWED data,2002-11-10,2002,Nov
