To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

32B100--Touchet R. @ Bolles

DATE         TIME    STAGE (ft.)   QUALITY
----------   -----   -----------   -------
10/01/2010   00:00          3.01         1
10/02/2010   00:00          3.00         1
10/03/2010   00:00          3.00         1
10/04/2010   00:00          3.04         1
10/05/2010   00:00          3.04         1
10/06/2010   00:00          3.03         1
10/07/2010   00:00          3.06         1
10/08/2010   00:00          3.10         1
10/09/2010   00:00          3.06         1
10/10/2010   00:00          3.07         1
10/11/2010   00:00          3.13         1
10/12/2010   00:00          3.08         1
10/13/2010   00:00          3.06         1
10/14/2010   00:00          3.06         1
10/15/2010   00:00          3.05         1
10/16/2010   00:00          3.05         1
10/17/2010   00:00          3.06         1
10/18/2010   00:00          3.06         1
10/19/2010   00:00          3.06        82
10/20/2010   00:00          3.06         1
10/21/2010   00:00          3.07         1
10/22/2010   00:00          3.07         1
10/23/2010   00:00          3.08         1
10/24/2010   00:00          3.14         1
10/25/2010   00:00          3.31         1
10/26/2010   00:00          3.30         1
10/27/2010   00:00          3.23         1
10/28/2010   00:00          3.20         1
10/29/2010   00:00          3.19         1
10/30/2010   00:00          3.19         1
10/31/2010   00:00          3.23         1
11/01/2010   00:00          3.25         1
11/02/2010   00:00          3.22         1
11/03/2010   00:00          3.21         1
11/04/2010   00:00          3.20         1
11/05/2010   00:00          3.18         1
11/06/2010   00:00          3.17         1
11/07/2010   00:00          3.21         1
11/08/2010   00:00          3.28         1
11/09/2010   00:00          3.22         1
11/10/2010   00:00          3.21         1
11/11/2010   00:00          3.20         1
11/12/2010   00:00          3.19         1
11/13/2010   00:00          3.19         1
11/14/2010   00:00          3.20         1
11/15/2010   00:00          3.22         1
11/16/2010   00:00          3.22         1
11/17/2010   00:00          3.21         1
11/18/2010   00:00          3.26         1
11/19/2010   00:00          3.26         1
11/20/2010   00:00          3.23         1
11/21/2010   00:00          3.22         1
11/22/2010   00:00          3.23         1
11/23/2010   00:00          3.22         1
11/24/2010   00:00            ""       250
11/25/2010   00:00            ""       250
11/26/2010   00:00            ""       250
11/27/2010   00:00          3.23        50
11/28/2010   00:00          3.21        50
11/29/2010   00:00          3.20        50
11/30/2010   00:00          3.21        50
12/01/2010   00:00          3.44        50
12/02/2010   00:00            ""       215
12/03/2010   00:00          3.57        50
12/04/2010   00:00          3.49        50
12/05/2010   00:00          3.43        50
12/06/2010   00:00          3.39        50
12/07/2010   00:00          3.36        50
12/08/2010   00:00          3.38        50
12/09/2010   00:00          3.56        50
12/10/2010   00:00          3.86        50
12/11/2010   00:00          3.79        50
12/12/2010   00:00          3.86        50
12/13/2010   00:00          4.37        50
12/14/2010   00:00          4.69        50
12/15/2010   00:00          4.49        50
12/16/2010   00:00          4.16        50
12/17/2010   00:00          3.95        50
12/18/2010   00:00          3.82        50
12/19/2010   00:00          3.71        50
12/20/2010   00:00          3.63        50
12/21/2010   00:00          3.55        50
12/22/2010   00:00          3.49        50
12/23/2010   00:00          3.46        50
12/24/2010   00:00          3.42        50
12/25/2010   00:00          3.41        50
12/26/2010   00:00          3.43        50
12/27/2010   00:00          3.45        50
12/28/2010   00:00          3.81        50
12/29/2010   00:00          4.66        50
12/30/2010   00:00          4.28        50
12/31/2010   00:00          3.99        50
01/01/2011   00:00          3.85        50
01/02/2011   00:00          4.01        50
01/03/2011   00:00          3.86        50
01/04/2011   00:00          3.75        50
01/05/2011   00:00          3.64        50
01/06/2011   00:00          3.61        50
01/07/2011   00:00          3.90        50
01/08/2011   00:00          4.12        50
01/09/2011   00:00          4.05        50
01/10/2011   00:00          3.93        50
01/11/2011   00:00          3.81        50
01/12/2011   00:00          3.77         1
01/13/2011   00:00          3.99         1
01/14/2011   00:00          4.47         1
01/15/2011   00:00          4.70         1
01/16/2011   00:00          5.68         1
01/17/2011   00:00          6.29         1
01/18/2011   00:00          5.53         1
01/19/2011   00:00          5.00         1
01/20/2011   00:00          4.73         1
01/21/2011   00:00          4.71         1
01/22/2011   00:00          5.26         1
01/23/2011   00:00          5.01         1
01/24/2011   00:00          4.75         1
01/25/2011   00:00          4.61         1
01/26/2011   00:00          4.43         1
01/27/2011   00:00          4.29         1
01/28/2011   00:00          4.20         1
01/29/2011   00:00          4.11         1
01/30/2011   00:00          4.02         1
01/31/2011   00:00          3.93         1
02/01/2011   00:00          3.78         1
02/02/2011   00:00          3.68         1
02/03/2011   00:00          3.64         1
02/04/2011   00:00          3.62         1
02/05/2011   00:00          3.66         1
02/06/2011   00:00          3.65         1
02/07/2011   00:00          3.67         1
02/08/2011   00:00          3.68         1
02/09/2011   00:00          3.57         1
02/10/2011   00:00          3.59         1
02/11/2011   00:00          3.62         1
02/12/2011   00:00          3.64         1
02/13/2011   00:00          3.68         1
02/14/2011   00:00          3.69         1
02/15/2011   00:00          3.86         1
02/16/2011   00:00          4.12         1
02/17/2011   00:00          4.13         1
02/18/2011   00:00          4.10         1
02/19/2011   00:00          4.03         1
02/20/2011   00:00          4.00         1
02/21/2011   00:00          3.93         1
02/22/2011   00:00          3.85         1
02/23/2011   00:00          3.81         1
02/24/2011   00:00          3.77         1
02/25/2011   00:00          3.70         1
02/26/2011   00:00          3.49         1
02/27/2011   00:00          3.70         1
02/28/2011   00:00          3.69         1
03/01/2011   00:00          3.77         1
03/02/2011   00:00          3.86         1
03/03/2011   00:00          4.38         1
03/04/2011   00:00          4.45         1
03/05/2011   00:00          4.49         1
03/06/2011   00:00          4.66         1
03/07/2011   00:00          4.61         1
03/08/2011   00:00          4.46         1
03/09/2011   00:00          4.51         1
03/10/2011   00:00          5.58         1
03/11/2011   00:00          5.79         1
03/12/2011   00:00          5.22         1
03/13/2011   00:00          5.05        50
03/14/2011   00:00          5.48         1
03/15/2011   00:00          5.37         1
03/16/2011   00:00          5.83         1
03/17/2011   00:00          5.44         1
03/18/2011   00:00          5.06         1
03/19/2011   00:00          4.85         1
03/20/2011   00:00          4.69         1
03/21/2011   00:00          4.81         1
03/22/2011   00:00          4.77         1
03/23/2011   00:00          4.68         1
03/24/2011   00:00          4.64         1
03/25/2011   00:00          4.51         1
03/26/2011   00:00          4.45         1
03/27/2011   00:00          4.42         1
03/28/2011   00:00          4.44         1
03/29/2011   00:00          4.34         1
03/30/2011   00:00          4.83         1
03/31/2011   00:00          5.23         1
04/01/2011   00:00          5.37         1
04/02/2011   00:00          5.80         1
04/03/2011   00:00          5.71         1
04/04/2011   00:00          5.36         1
04/05/2011   00:00          7.00         1
04/06/2011   00:00          6.29         1
04/07/2011   00:00          5.69         1
04/08/2011   00:00          5.22         1
04/09/2011   00:00          4.90         1
04/10/2011   00:00          4.69         1
04/11/2011   00:00          4.77         1
04/12/2011   00:00          4.71         1
04/13/2011   00:00          4.61         1
04/14/2011   00:00          4.49         1
04/15/2011   00:00          4.39         1
04/16/2011   00:00          4.49         1
04/17/2011   00:00          4.57         1
04/18/2011   00:00          4.50         1
04/19/2011   00:00          4.36         1
04/20/2011   00:00          4.21         1
04/21/2011   00:00          4.15         1
04/22/2011   00:00          4.06         1
04/23/2011   00:00          3.98         1
04/24/2011   00:00          3.94         1
04/25/2011   00:00          4.04         1
04/26/2011   00:00          4.05         1
04/27/2011   00:00          3.96         1
04/28/2011   00:00          4.04         1
04/29/2011   00:00          4.02         1
04/30/2011   00:00          3.97         1
05/01/2011   00:00          3.93         1
05/02/2011   00:00          3.92         1
05/03/2011   00:00          3.96         1
05/04/2011   00:00          3.88         1
05/05/2011   00:00          3.87         1
05/06/2011   00:00          3.95         1
05/07/2011   00:00          4.13         1
05/08/2011   00:00          4.17         1
05/09/2011   00:00          4.12         1
05/10/2011   00:00          4.02         1
05/11/2011   00:00          4.02         1
05/12/2011   00:00          4.15         1
05/13/2011   00:00          4.10         1
05/14/2011   00:00          4.24         1
05/15/2011   00:00          4.68         1
05/16/2011   00:00          4.93         1
05/17/2011   00:00          4.79         1
05/18/2011   00:00          4.57         1
05/19/2011   00:00          4.35         1
05/20/2011   00:00          4.24         1
05/21/2011   00:00          4.20         1
05/22/2011   00:00          4.17         1
05/23/2011   00:00          4.10         1
05/24/2011   00:00          4.03         1
05/25/2011   00:00          3.94         1
05/26/2011   00:00          4.64         1
05/27/2011   00:00          4.50         1
05/28/2011   00:00          4.35         1
05/29/2011   00:00          4.20         1
05/30/2011   00:00          4.08         1
05/31/2011   00:00          4.04         1
06/01/2011   00:00          4.02         1
06/02/2011   00:00          4.39         1
06/03/2011   00:00          4.51         1
06/04/2011   00:00          4.37         1
06/05/2011   00:00          4.27         1
06/06/2011   00:00          4.26         1
06/07/2011   00:00          4.19         1
06/08/2011   00:00          4.09         1
06/09/2011   00:00          3.96         1
06/10/2011   00:00          3.86         1
06/11/2011   00:00          3.80         1
06/12/2011   00:00          3.76         1
06/13/2011   00:00          3.72         1
06/14/2011   00:00          3.66         1
06/15/2011   00:00          3.62         1
06/16/2011   00:00          3.57         1
06/17/2011   00:00          3.50         1
06/18/2011   00:00          3.49         1
06/19/2011   00:00          3.48         1
06/20/2011   00:00          3.41         1
06/21/2011   00:00          3.36         1
06/22/2011   00:00          3.31         1
06/23/2011   00:00          3.29         1
06/24/2011   00:00          3.25         1
06/25/2011   00:00          3.20         1
06/26/2011   00:00          3.16         1
06/27/2011   00:00          3.12         1
06/28/2011   00:00          3.08         1
06/29/2011   00:00          3.08         1
06/30/2011   00:00          3.07         1
07/01/2011   00:00          3.04         1
07/02/2011   00:00          3.01         1
07/03/2011   00:00          2.98         1
07/04/2011   00:00          2.95         1
07/05/2011   00:00          2.93         1
07/06/2011   00:00          2.89         1
07/07/2011   00:00          2.87         1
07/08/2011   00:00          2.85         1
07/09/2011   00:00          2.85         1
07/10/2011   00:00          2.83         1
07/11/2011   00:00          2.82         1
07/12/2011   00:00          2.81         1
07/13/2011   00:00          2.84         1
07/14/2011   00:00          2.83         1
07/15/2011   00:00          2.81         1
07/16/2011   00:00          2.83         1
07/17/2011   00:00          2.86         1
07/18/2011   00:00          2.80         1
07/19/2011   00:00          2.78         1
07/20/2011   00:00          2.83         1
