To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

32B100--Touchet R. @ Bolles

DATE         Water Temp. (°C)   QUALITY
----------   ----------------   -------
10/01/2011               15.2       140
10/02/2011               14.9       140
10/03/2011               14.7       140
10/04/2011               13.9       140
10/05/2011               13.2       140
10/06/2011               11.5       140
10/07/2011               11.9       140
10/08/2011               12.4       140
10/09/2011               12.0       140
10/10/2011               12.0       140
10/11/2011               12.7       140
10/12/2011               12.3       140
10/13/2011               11.8       140
10/14/2011               12.2       140
10/15/2011               12.3       140
10/16/2011               11.8       140
10/17/2011               11.0       140
10/18/2011               10.4       140
10/19/2011               10.4       140
10/20/2011               11.3       140
10/21/2011               11.6       140
10/22/2011               12.1       140
10/23/2011               12.4       140
10/24/2011               11.4       140
10/25/2011                9.0       140
10/26/2011                7.8       140
10/27/2011                8.3       140
10/28/2011                7.8       140
10/29/2011                9.2       140
10/30/2011                8.9       140
10/31/2011                9.8       140
11/01/2011                7.9       140
11/02/2011                6.5       140
11/03/2011                7.1       140
11/04/2011                7.2       140
11/05/2011                5.9       140
11/06/2011                5.2       140
11/07/2011                5.1       140
11/08/2011                5.9       140
11/09/2011                5.9       140
11/10/2011                5.2       140
11/11/2011                5.0       140
11/12/2011                5.5       140
11/13/2011                6.1       140
11/14/2011                6.0       140
11/15/2011                5.2       140
11/16/2011                3.9       140
11/17/2011                6.0       140
11/18/2011                5.2       140
11/19/2011                4.6       140
11/20/2011                4.1       140
11/21/2011                4.4       140
11/22/2011                6.6       140
11/23/2011                7.6       140
11/24/2011                6.9       140
11/25/2011                5.8       140
11/26/2011                5.4       140
11/27/2011                5.6       140
11/28/2011                6.0       140
11/29/2011                5.2       140
11/30/2011                5.5       140
12/01/2011                4.0       140
12/02/2011                3.6       140
12/03/2011                2.9       140
12/04/2011                3.2       140
12/05/2011                2.7       140
12/06/2011                2.3       140
12/07/2011                1.8       140
12/08/2011                1.2       140
12/09/2011                1.0       140
12/10/2011                1.0       140
12/11/2011                0.9       140
12/12/2011                          255
12/13/2011                1.4       140
12/14/2011                1.8       140
12/15/2011                2.1       140
12/16/2011                2.6       140
12/17/2011                2.6       140
12/18/2011                2.4       140
12/19/2011                2.8       140
12/20/2011                2.7       140
12/21/2011                2.2       140
12/22/2011                0.7       140
12/23/2011                0.2       140
12/24/2011                0.9       140
12/25/2011                1.2       140
12/26/2011                2.1       140
12/27/2011                3.7       140
12/28/2011                6.1       140
12/29/2011                5.9       140
12/30/2011                5.7       140
12/31/2011                3.8       140
01/01/2012                3.9       140
01/02/2012                2.9       140
01/03/2012                3.9       140
01/04/2012                4.3       140
01/05/2012                5.3       140
01/06/2012                3.7       140
01/07/2012                3.8       140
01/08/2012                4.0       140
01/09/2012                3.3       140
01/10/2012                4.0       140
01/11/2012                1.8       140
01/12/2012                0.6       140
01/13/2012                0.9       140
01/14/2012                1.9       140
01/15/2012                2.0       140
01/16/2012                1.5       140
01/17/2012                1.7       140
01/18/2012                0.7       140
01/19/2012                0.0       140
01/20/2012                1.1       140
01/21/2012                3.1       140
01/22/2012                3.3       140
01/23/2012                4.0       140
01/24/2012                3.2       140
01/25/2012                5.1       140
01/26/2012                5.0       140
01/27/2012                3.1       140
01/28/2012                2.7       140
01/29/2012                4.7       140
01/30/2012                5.4       140
01/31/2012                4.6       140
02/01/2012                4.5       140
02/02/2012                4.0       140
02/03/2012                3.2       140
02/04/2012                3.0       140
02/05/2012                3.1       140
02/06/2012                2.9       140
02/07/2012                2.6       140
02/08/2012                3.3       140
02/09/2012                4.4       140
02/10/2012                4.9       140
02/11/2012                5.2       140
02/12/2012                5.0       140
02/13/2012                4.1       140
02/14/2012                4.3       140
02/15/2012                4.6       140
02/16/2012                3.7       140
02/17/2012                5.2       140
02/18/2012                5.4       140
02/19/2012                4.6       140
02/20/2012                3.8       140
02/21/2012                5.3       140
02/22/2012                5.9       140
02/23/2012                4.5       140
02/24/2012                4.9       140
02/25/2012                4.7       140
02/26/2012                3.7       140
02/27/2012                3.3       140
02/28/2012                2.9       140
02/29/2012                3.9       140
03/01/2012                3.8       140
03/02/2012                4.0       140
03/03/2012                5.3       140
03/04/2012                6.5       140
03/05/2012                5.7       140
03/06/2012                4.1       140
03/07/2012                3.8       140
03/08/2012                4.9       140
03/09/2012                6.2       140
03/10/2012                6.7       140
03/11/2012                6.3       140
03/12/2012                4.8       140
03/13/2012                5.7       140
03/14/2012                5.4       140
03/15/2012                6.8       140
