To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

32B100--Touchet R. @ Bolles

DATE         Stage (ft.)   QUALITY
----------   -----------   -------
10/01/2020          3.16         1
10/02/2020          3.16         1
10/03/2020          3.16         1
10/04/2020          3.15         1
10/05/2020          3.14         1
10/06/2020          3.14         1
10/07/2020          3.14         1
10/08/2020          3.15         1
10/09/2020          3.15         1
10/10/2020          3.21         1
10/11/2020          3.34         1
10/12/2020          3.32         1
10/13/2020          3.33         1
10/14/2020          3.42         1
10/15/2020          3.30         1
10/16/2020          3.27         1
10/17/2020          3.25         1
10/18/2020          3.24         1
10/19/2020          3.25         1
10/20/2020          3.25         1
10/21/2020          3.26         1
10/22/2020          3.26         1
10/23/2020          3.27         1
10/24/2020          3.42         1
10/25/2020          3.39         1
10/26/2020          3.33         1
10/27/2020          3.31         1
10/28/2020          3.31         1
10/29/2020          3.30         1
10/30/2020          3.30         1
10/31/2020          3.30         1
11/01/2020          3.29         1
11/02/2020          3.29         1
11/03/2020          3.29         1
11/04/2020          3.29         1
11/05/2020          3.29         1
11/06/2020          3.58         1
11/07/2020          3.71         1
11/08/2020          3.53         1
11/09/2020          3.45         1
11/10/2020          3.42         1
11/11/2020          3.47         1
11/12/2020          3.44         1
11/13/2020          3.49         1
11/14/2020          3.61         1
11/15/2020          3.56         1
11/16/2020          3.58         1
11/17/2020          3.63         1
11/18/2020          3.75         1
11/19/2020          3.81         1
11/20/2020          3.76         1
11/21/2020          3.70         1
11/22/2020          3.66         1
11/23/2020          3.61         1
11/24/2020          3.59         1
11/25/2020          3.59         1
11/26/2020          3.58         1
11/27/2020          3.56         1
11/28/2020          3.55         1
11/29/2020          3.53         1
11/30/2020          3.52         1
12/01/2020          3.50         1
12/02/2020          3.47         1
12/03/2020          3.46         1
12/04/2020          3.44         1
12/05/2020          3.43         1
12/06/2020          3.42         1
12/07/2020          3.41         1
12/08/2020          3.40         1
12/09/2020          3.43         1
12/10/2020          3.47         1
12/11/2020          3.46         1
12/12/2020          3.45         1
12/13/2020          3.45         1
12/14/2020          3.44         1
12/15/2020          3.44         1
12/16/2020          3.46         1
12/17/2020          3.51         1
12/18/2020          3.57         1
12/19/2020          3.60         1
12/20/2020          4.09         1
12/21/2020          4.76         1
12/22/2020          4.68         1
12/23/2020          4.39         1
12/24/2020          4.17         1
12/25/2020          4.04         1
12/26/2020          3.99         1
12/27/2020          3.94         1
12/28/2020          3.89         1
12/29/2020          3.84         1
12/30/2020          3.84         1
12/31/2020          4.03         1
01/01/2021          4.36         1
01/02/2021          4.29         1
01/03/2021          4.69         1
01/04/2021          4.84         1
01/05/2021          5.04         1
01/06/2021          4.69         1
01/07/2021          4.43         1
01/08/2021          4.27         1
01/09/2021          4.14         1
01/10/2021          4.05         1
01/11/2021          3.97         1
01/12/2021          4.01         1
01/13/2021          4.88         1
01/14/2021          5.06         1
01/15/2021          4.70         1
01/16/2021          4.50         1
01/17/2021          4.36         1
01/18/2021          4.25         1
01/19/2021          4.15         1
01/20/2021          4.08         1
01/21/2021          4.03         1
01/22/2021          3.97         1
01/23/2021          3.92         1
01/24/2021          3.87         1
01/25/2021          3.85         1
01/26/2021          3.81         1
01/27/2021          3.78         1
01/28/2021          3.76         1
01/29/2021          3.74         1
01/30/2021          3.71         1
01/31/2021          3.68         1
02/01/2021          3.67         1
02/02/2021          3.76         1
02/03/2021          3.87         1
02/04/2021          3.86         1
02/05/2021          3.85         1
02/06/2021          3.86         1
02/07/2021          3.84         1
02/08/2021          3.83         1
02/09/2021          3.80         1
02/10/2021          3.76         1
02/11/2021          3.73         1
02/12/2021          3.73         1
02/13/2021          3.67        77
02/14/2021          3.64        77
02/15/2021          3.67        77
02/16/2021          3.70        77
02/17/2021          3.66        50
02/18/2021          3.62        50
02/19/2021          3.66        50
02/20/2021          3.73         1
02/21/2021          3.76         1
02/22/2021          4.23         1
02/23/2021          5.82         1
