To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

32B100--Touchet R. @ Bolles

DATE         Stage (ft.)   QUALITY
----------   -----------   -------
10/01/2024          2.97         2
10/02/2024          2.96         2
10/03/2024          2.97         2
10/04/2024          2.97         2
10/05/2024          3.00         2
10/06/2024          3.01         2
10/07/2024          2.99         2
10/08/2024          2.98         2
10/09/2024          2.96         2
10/10/2024          2.96         2
10/11/2024          2.98         2
10/12/2024          3.00         2
10/13/2024          3.00         2
10/14/2024          2.99         2
10/15/2024          2.98         2
10/16/2024          3.02         2
10/17/2024          3.04         2
10/18/2024          3.04         2
10/19/2024          3.04         2
10/20/2024          3.03         2
10/21/2024          3.08         2
10/22/2024          3.14         2
10/23/2024          3.09         2
10/24/2024          3.08         2
10/25/2024          3.07         2
10/26/2024          3.07         2
10/27/2024          3.07         2
10/28/2024          3.11         2
10/29/2024          3.11         2
10/30/2024          3.10         2
10/31/2024          3.12         2
11/01/2024          3.15         2
11/02/2024          3.20         2
11/03/2024          3.23         2
11/04/2024          3.17         2
11/05/2024          3.19         2
11/06/2024          3.15         2
11/07/2024          3.13         2
11/08/2024          3.12         2
11/09/2024          3.12         2
11/10/2024          3.13         2
11/11/2024          3.14         2
11/12/2024          3.14         2
11/13/2024          3.15         2
11/14/2024          3.22         2
11/15/2024          3.20         2
11/16/2024          3.17         2
11/17/2024          3.19         2
11/18/2024          3.40         2
11/19/2024          3.29         2
11/20/2024          3.26         2
11/21/2024          3.25         2
11/22/2024          3.33         2
11/23/2024          3.60         2
11/24/2024          3.52         2
11/25/2024          3.42         2
11/26/2024          3.37         2
11/27/2024          3.33         2
11/28/2024          3.29         2
11/29/2024          3.26         2
11/30/2024          3.25         2
12/01/2024          3.23         2
12/02/2024          3.21         2
12/03/2024          3.20         2
12/04/2024          3.18         2
12/05/2024          3.16         2
12/06/2024          3.15         2
12/07/2024          3.15         2
12/08/2024          3.23         2
12/09/2024          3.23         2
12/10/2024          3.21         2
12/11/2024          3.21         2
12/12/2024          3.21         2
12/13/2024          3.22         2
12/14/2024          3.24         2
12/15/2024          3.31         2
12/16/2024          3.35         2
12/17/2024          3.38         2
12/18/2024          3.47         2
12/19/2024          3.55         2
12/20/2024          3.50         2
12/21/2024          3.46         2
12/22/2024          3.49         2
12/23/2024          3.56         2
12/24/2024          3.74         2
12/25/2024          3.95         2
12/26/2024          3.99         2
12/27/2024          3.97         2
12/28/2024          4.01         2
12/29/2024          4.06         2
12/30/2024          4.18         2
12/31/2024          4.03         2
01/01/2025          3.89         2
01/02/2025          3.79         2
01/03/2025          3.81         2
01/04/2025          4.04         2
01/05/2025          4.39         2
01/06/2025          4.57         2
01/07/2025          4.28         2
01/08/2025          4.09         2
01/09/2025          3.95         2
01/10/2025          3.86         2
01/11/2025          3.85         2
01/12/2025          3.78         2
01/13/2025          3.73         2
01/14/2025          3.68         2
01/15/2025          3.62         2
01/16/2025          3.58         2
01/17/2025          3.54         2
01/18/2025          3.50         2
01/19/2025          3.45         2
01/20/2025          3.41         2
01/21/2025          3.38         2
01/22/2025          3.36         2
01/23/2025          3.34         2
01/24/2025          3.32         2
01/25/2025          3.29         2
01/26/2025          3.27         2
01/27/2025          3.26         2
01/28/2025          3.25         2
01/29/2025          3.25         2
01/30/2025          3.24         2
01/31/2025          3.26         2
02/01/2025          3.41         2
02/02/2025          3.39         2
02/03/2025          3.36         2
02/04/2025          3.37         2
02/05/2025          3.38         2
02/06/2025          3.36         2
02/07/2025          3.35         2
02/08/2025          3.34         2
02/09/2025          3.34         2
02/10/2025          3.31         2
02/11/2025                     250
02/12/2025                     250
02/13/2025                     250
02/14/2025                     250
02/15/2025                     250
02/16/2025                     250
02/17/2025          3.42        50
02/18/2025          3.73        50
02/19/2025          3.90         2
02/20/2025          4.37         2
02/21/2025          4.29         2
02/22/2025          4.27         2
02/23/2025          6.03         2
02/24/2025          7.23         2
02/25/2025          5.99         2
02/26/2025          5.05         2
02/27/2025          4.60         2
02/28/2025          4.36         2
03/01/2025          4.23         2
03/02/2025          4.15         2
03/03/2025          4.07         2
03/04/2025          3.98         2
03/05/2025          3.91         2
03/06/2025          3.84         2
03/07/2025          3.76         2
03/08/2025          3.69         2
03/09/2025          3.63         2
03/10/2025          3.60         2
03/11/2025          3.60         2
03/12/2025          3.65         2
03/13/2025          3.77         2
03/14/2025          3.78         2
03/15/2025          3.81         2
03/16/2025          4.10         2
03/17/2025          4.41         2
03/18/2025          4.25         2
