huc12,Aquifer,acres
170701020304,Community Water System,19355.2064186678
170701020303,Community Water System,10357.4075703647
170701020404,Community Water System,1750.08168963146
170701020402,Community Water System,1056.15102591254
170601070808,Non-transient Non-community water system,909.022610418655
170701020401,Community Water System,462.890104369728
170701020308,Community Water System,305.715032767855
170601070807,Non-transient Non-community water system,130.487979239696
170601100102,Transient non community water system,32.2329083928092
170701020401,Group B Water System,31.3339620741726
170601070704,Community Water System,19.6445254752824
170601070603,Transient non community water system,15.8998990012243
170701020301,Transient non community water system,1.35957560069977
