huc12,TreeDecAc,SemiIncAc,TotCngAc
170601060303,1.27821735,0,1.27821735
170601060304,11.71178658,0,11.71178658
170601060305,19.6762831,0,19.6762831
170601060306,988.91190693,0,988.91190693
170601060307,1072.1251766,0,1072.1251766
170601060308,273.92951153,0,273.92951153
170601060309,219.21509465,0,219.21509465
170601060311,85.41506211,0,85.41506211
170601070506,0,2.22016933,2.22016933
170601070601,40.88508314,0,40.88508314
170601070602,102.77517153,0,102.77517153
170601070603,223.69493095,1.19211348,224.31200968
170601070604,37.23746611,0,37.23746611
170601070605,0.19954394,0.03037673,0.26029741
170601070606,16.03259249,1.1778593,19.29911149
170601070607,0,13.04652896,14.18928017
170601070608,18.86084717,0.6493919,19.32239174
170601070701,3.52745733,81.54207432,86.66514934
170601070702,0.56450475,87.52408044,89.76262533
170601070703,1.46324073,61.99975733,63.51465975
170601070704,1.93497284,0,2.37642358
170601070806,0.02521118,0.21863279,0.24384397
170601070807,0,0.29426569,0.29426569
170601070808,0,0.48665514,0.48665514
170601100101,0.04808573,0.27158532,0.31967105
170601100102,0,1.05881067,1.05881067
170701020201,2.83847097,0,2.83847097
170701020301,76.33584677,0.21702061,76.66135229
170701020302,198.23559362,1.07468353,200.38165525
170701020303,27.59333787,1.12401536,28.56292129
170701020304,36.12092439,1.47553611,38.28710743
170701020305,230.58783245,0.27375044,231.31051294
170701020306,0.25069341,1.0214456,1.41704806
170701020307,3.60083339,3.56102469,11.84654496
170701020308,25.11474769,3.86205399,32.78428578
170701020401,21.09085535,5.5710343,33.4140254
170701020402,19.35730196,4.85058006,24.84516216
170701020403,0.2639302,0.10027203,0.49779636
170701020404,0.05362158,0,0.05362158
170701020501,0.5420678,10.84731652,12.19292445
170701020502,0.51490555,2.95676908,3.47167463
170701020503,0.07529306,0,0.07529306
170701020504,0,0,0.13545443
