"","huc12","comname","acres"
"1","170601070603","Northwest White-tailed Deer",21785.5817709932
"2","170601070608","Northwest White-tailed Deer",20619.0526273411
"3","170701020501","Northwest White-tailed Deer",20158.1006142774
"4","170701020401","Northwest White-tailed Deer",19305.2474305089
"5","170701020303","Rocky Mountain Elk",18978.4279607746
"6","170601070603","Rocky Mountain Elk",18534.1739258513
"7","170701020302","Northwest White-tailed Deer",18043.8660890993
"8","170701020402","Northwest White-tailed Deer",16474.8450962803
"9","170701020303","Mule Deer",16427.1210153753
"10","170701020302","Rocky Mountain Elk",16159.4687471032
"11","170601070603","Mule Deer",15849.1024482153
"12","170701020307","Northwest White-tailed Deer",15538.9178012896
"13","170701020304","Rocky Mountain Elk",15403.5626753457
"14","170701020305","Northwest White-tailed Deer",14423.062263014
"15","170701020302","Mule Deer",14173.3100475447
"16","170601070608","Mule Deer",13329.8703301384
"17","170701020306","Northwest White-tailed Deer",12061.831888676
"18","170701020304","Mule Deer",11951.9189767798
"19","170601070606","Northwest White-tailed Deer",11411.6761582282
"20","170701020308","Northwest White-tailed Deer",10886.3229860133
"21","170601070607","Northwest White-tailed Deer",7766.57419475562
"22","170601070604","Northwest White-tailed Deer",7303.2900846736
"23","170601070604","Rocky Mountain Elk",6834.17695386265
"24","170701020304","Northwest White-tailed Deer",6822.36912133217
"25","170601060307","Rocky Mountain Elk",6722.08723627557
"26","170701020305","Mule Deer",6269.56307783783
"27","170601070807","Chukar",5892.1950890948
"28","170601070807","Mule Deer",5892.1950890948
"29","170601070606","Mule Deer",5830.67341401874
"30","170601070506","Mule Deer",5812.88000987993
"31","170601070602","Northwest White-tailed Deer",5640.43805594964
"32","170601070601","Northwest White-tailed Deer",5414.37590191997
"33","170601070808","Mule Deer",5343.99855916156
"34","170601070604","Bighorn Sheep",5214.62170662232
"35","170701020303","Northwest White-tailed Deer",5056.13727072074
"36","170701020306","Mule Deer",4739.15449096972
"37","170601070506","Northwest White-tailed Deer",4718.08056539695
"38","170601070604","Mule Deer",4642.94930597397
"39","170601070808","Chukar",4609.85389447992
"40","170601070703","Northwest White-tailed Deer",4557.94762773414
"41","170701020403","Northwest White-tailed Deer",4418.21959276754
"42","170701020306","Rocky Mountain Elk",4260.4258037759
"43","170601060308","Rocky Mountain Elk",4140.96960887323
"44","170601070701","Northwest White-tailed Deer",4012.0571105252
"45","170601060306","Rocky Mountain Elk",3800.90128301241
"46","170701020301","Rocky Mountain Elk",3490.93290620783
"47","170701020305","Rocky Mountain Elk",3462.89105261613
"48","170601070806","Chukar",2950.89776569346
"49","170601070806","Mule Deer",2950.89776569346
"50","170601070505","Mule Deer",2873.32638219035
"51","170601100101","Mule Deer",2807.61670719299
"52","170601060309","Bighorn Sheep",2717.21437635919
"53","170701020307","Mule Deer",2688.83123345299
"54","170701020201","Rocky Mountain Elk",2435.59099880758
"55","170601070603","Bighorn Sheep",2349.33144856427
"56","170701020402","Mule Deer",2344.20831931706
"57","170701020402","Rocky Mountain Elk",2344.20831931706
"58","170701020502","Ring-necked Pheasant",2245.49775009405
"59","170701020308","Mule Deer",2016.66384242731
"60","170601070704","Mule Deer",1774.80822262795
"61","170601070807","Waterfowl Concentrations",1703.74195212176
"62","170601060311","Bighorn Sheep",1675.68981858703
"63","170601070601","Rocky Mountain Elk",1651.0838976644
"64","170601070601","Mule Deer",1612.45384603123
"65","170601070606","Rocky Mountain Elk",1562.87173477411
"66","170601100101","Ring-necked Pheasant",1503.15734660413
"67","170601070701","Cliffs/bluffs",1090.7058703658
"68","170701020504","Northwest White-tailed Deer",1065.55302091116
"69","170601070808","Waterfowl Concentrations",1062.92031991808
"70","170601070703","Ring-necked Pheasant",1039.21432025327
"71","170701020501","Ring-necked Pheasant",1011.03569662907
"72","170601100102","Mule Deer",834.160009821304
"73","170601070506","Ring-necked Pheasant",767.609762954796
"74","170701020301","Mule Deer",745.670708938658
"75","170701020504","Ring-necked Pheasant",737.266701466825
"76","170601070701","Ring-necked Pheasant",668.783955046017
"77","170601070804","Waterfowl Concentrations",628.23506016122
"78","170601070605","Northwest White-tailed Deer",627.425496837181
"79","170601070605","Mule Deer",612.544456350333
"80","170601070805","Chukar",546.144130892654
"81","170601070805","Mule Deer",546.144130892654
"82","170701020404","Mule Deer",500.305931707251
"83","170701020404","Rocky Mountain Elk",500.305931707251
"84","170601070505","Northwest White-tailed Deer",496.190901133739
"85","170601070505","Ring-necked Pheasant",490.58659204597
"86","170701020405","Northwest White-tailed Deer",477.534550778669
"87","170601070605","Rocky Mountain Elk",442.729040246057
"88","170601070808","Cliffs/bluffs",422.577762009869
"89","170601070702","Ring-necked Pheasant",348.888788687854
"90","170601070704","Ring-necked Pheasant",337.627483083815
"91","170701020402","Ring-necked Pheasant",305.213896242988
"92","170601070804","Chukar",271.088438848983
"93","170601070608","Ring-necked Pheasant",270.63370995896
"94","170601070704","Cliffs/bluffs",248.523851580301
"95","170701020301","Northwest White-tailed Deer",248.380074036715
"96","170701020403","Ring-necked Pheasant",230.898539778633
"97","170701020308","Cliffs/bluffs",180.792692443863
"98","170601070704","Chukar",140.917368391126
"99","170701020404","Northwest White-tailed Deer",126.738150536874
"100","170701020303","Cliffs/bluffs",125.802591674373
"101","170601060311","Mule Deer",117.456509864769
"102","170601060311","Rocky Mountain Elk",117.456509864769
"103","170601060308","Bighorn Sheep",100.73896699913
"104","170601070804","Mule Deer",98.7478880642792
"105","170601070703","Cliffs/bluffs",96.7872618392401
"106","170601100102","Waterfowl Concentrations",87.0127665952516
"107","170601070807","Cliffs/bluffs",86.1940483964244
"108","170601070602","Rocky Mountain Elk",84.9367102664592
"109","170601070607","Mule Deer",74.1969652953032
"110","170601070806","Waterfowl Concentrations",54.4227561474575
"111","170701020601","Ring-necked Pheasant",51.257830676279
"112","170601070506","Chukar",48.2839015805457
"113","170601070805","Waterfowl Concentrations",44.5364248348944
"114","170701020304","Cliffs/bluffs",36.7466873126019
"115","170601100102","Ring-necked Pheasant",28.5496142682011
"116","170601070805","Ring-necked Pheasant",22.951812847882
"117","170601070504","Northwest White-tailed Deer",20.5514966561611
"118","170601070804","Cliffs/bluffs",20.1359458258621
"119","170601070808","Ring-necked Pheasant",14.781725983944
"120","170601100102","Chukar",12.4097466690118
"121","170601070703","Mule Deer",11.9856350755843
"122","170701020401","Cliffs/bluffs",3.99324758183787
"123","170601070704","Northwest White-tailed Deer",2.6139329759909
"124","170701020503","Ring-necked Pheasant",1.26480423460988
"125","170601070505","Chukar",1.24382838944712
"126","170601070703","Chukar",0.776992187413387
"127","170701020201","Mule Deer",0.144565310942443
"128","170601070506","Cliffs/bluffs",0.107501246946418
"129","170601070605","Bighorn Sheep",0.073255733739893
"130","170601100102","Cliffs/bluffs",0.00602713696650823
