"","huc12","Priority","acres"
"1","170701020303","High",26689.3111839372
"2","170701020304","High",26574.4079996816
"3","170601070603","Moderate",22033.4834790645
"4","170601070608","Low",21128.9515105199
"5","170701020302","Moderate",20561.4864888482
"6","170701020401","Low",19463.9015146427
"7","170601070607","Low",19082.3904753052
"8","170701020402","Low",17981.5311988956
"9","170701020301","Moderate",17760.8060178762
"10","170601060309","High",17174.4221633389
"11","170601060306","Moderate",16780.3944145667
"12","170601070602","Moderate",16223.5823219941
"13","170701020307","Low",15685.3575540451
"14","170601070506","Low",14454.4407466812
"15","170701020305","Moderate",14385.8098145984
"16","170701020306","Low",12030.9564715188
"17","170601070606","Low",11396.7533885422
"18","170701020308","Low",11357.2226529149
"19","170601060303","Moderate",11234.5516759134
"20","170701020201","Moderate",10396.3421769266
"21","170601060307","Low",9576.23459420642
"22","170601070601","High",9076.95773805165
"23","170601060304","Moderate",7641.37360965167
"24","170601070604","Low",7491.25994013824
"25","170601070505","Low",5370.31085042466
"26","170601060308","Low",5004.18755063929
"27","170701020403","Low",4465.29865493214
"28","170601060311","Moderate",1718.07196249142
"29","170601060305","Moderate",1706.22882170255
"30","170601070605","Low",707.474744834196
"31","170701020404","Low",627.813141761999
"32","170701020405","Low",477.083572485854
"33","170601060301","Moderate",159.934794748483
"34","170601070504","Low",91.9286356798728
"35","170701020501","Low",0.899346799402141
"36","170701020305","Low",0.812476927963999
"37","170701020303","Moderate",0.793300238934307
"38","170601070701","Low",0.787023783139398
"39","170601070603","Low",0.56675765954571
"40","170601070602","High",0.434694855210162
"41","170701020307","Moderate",0.415088464921711
"42","170701020304","Low",0.400060092279187
"43","170701020302","Low",0.380484700227587
"44","170701020401","High",0.302080186358894
"45","170701020402","High",0.258384720355848
"46","170701020201","High",0.242714562027678
"47","170601060307","Moderate",0.215907624054965
"48","170601060307","High",0.188479429333657
"49","170601070601","Moderate",0.186886094145219
"50","170601060309","Moderate",0.182190919584686
"51","170601060305","Low",0.180394789799285
"52","170701020306","Moderate",0.166298186005507
"53","170601060308","Moderate",0.154166537488165
"54","170601070601","Low",0.132619698317997
"55","170601060308","High",0.131672799936805
"56","170601060306","High",0.121065972907653
"57","170701020404","High",0.113903774256722
"58","170701020301","High",0.0876890755264493
"59","170601060306","Low",0.0765641932853878
"60","170601060311","High",0.0673090942642504
"61","170601070703","Low",0.0612008484313457
"62","170601060303","High",0.0458495325692967
"63","170701020304","Moderate",0.0429111604518669
"64","170601070604","Moderate",0.0392520088265241
"65","170701020303","Low",0.0249914186147463
"66","170601060309","Low",0.0194944751760402
"67","170601070603","High",0.00917293330876165
"68","170601070606","Moderate",0.00890469322849759
"69","170701020308","Moderate",0.00872579746311319
"70","170701020308","High",0.00340699800367357
"71","170701020302","High",0.002498944035266
"72","170601070806","Low",0.00227045993832154
"73","170701020504","Low",0.00209480156482321
"74","170601060311","Low",0.000501570412913712
"75","170601070604","High",0.000416114374414566
"76","170601070807","Low",0.000140508778405448
