"","huc12","forpehrtdc","acres"
"1","170701020501","Severe",24555.7391168276
"2","170601070702","Severe",21467.9166024498
"3","170701020304","Severe",17932.0419862873
"4","170601100101","Severe",17904.9715359887
"5","170701020401","Severe",16342.2800933554
"6","170601070608","Severe",15517.0350882557
"7","170701020402","Severe",15263.2267076838
"8","170601070701","Severe",15078.5203658784
"9","170601070607","Severe",14591.8554532286
"10","170601070703","Severe",14334.9456821404
"11","170701020303","Severe",13436.0489617306
"12","170601070506","Severe",12785.6584234026
"13","170701020307","Severe",12470.3428108836
"14","170701020306","Severe",10338.6092601505
"15","170701020302","Severe",10316.8213201105
"16","170701020502","Severe",10198.093194273
"17","170601070606","Severe",9229.73782982924
"18","170701020308","Severe",8729.25471341561
"19","170701020305","Severe",8525.08740466155
"20","170701020504","Severe",8431.01442352487
"21","170601070704","Severe",7289.34662314536
"22","170601070808","Severe",5862.65131043292
"23","170601070807","Severe",5691.56395812675
"24","170701020503","Severe",5198.73844950534
"25","170701020302","Moderate",4397.31421060125
"26","170601070607","Moderate",4212.01139066877
"27","170701020403","Severe",4065.42154055877
"28","170601070505","Severe",3455.52619947784
"29","170701020601","Severe",3249.20190929598
"30","170601070806","Severe",3168.68607934424
"31","170701020303","Not rated",2936.03851069405
"32","170701020303","Moderate",2902.62095516738
"33","170601070608","Moderate",2817.7908261973
"34","170701020305","Moderate",2506.59406890852
"35","170701020401","Slight",2349.04123371547
"36","170601070808","Not rated",2285.52769129248
"37","170701020307","Moderate",2261.14113915377
"38","170701020302","Not rated",2249.16259725499
"39","170701020501","Slight",2020.23719877767
"40","170701020501","Moderate",2019.47819917467
"41","170601070608","Slight",2004.99369319076
"42","170701020304","Moderate",1962.42041598516
"43","170601070603","Severe",1925.43139187343
"44","170701020402","Moderate",1884.88907721131
"45","170601070807","Not rated",1810.04738512192
"46","170701020302","Slight",1674.27832307912
"47","170601070505","Moderate",1646.54926424779
"48","170601070604","Not rated",1636.57322001376
"49","170601070604","Severe",1582.62591094446
"50","170701020308","Moderate",1300.53588468555
"51","170601070506","Moderate",1238.27795075029
"52","170701020301","Not rated",1176.14592135619
"53","170701020306","Moderate",1158.36563726995
"54","170601070603","Not rated",995.604509540531
"55","170601070606","Moderate",957.710511697187
"56","170701020304","Slight",953.481638477706
"57","170601070606","Slight",896.86203627216
"58","170601100102","Severe",892.328429397833
"59","170601070701","Moderate",884.443968375099
"60","170601070608","Not rated",831.520554236197
"61","170701020402","Slight",829.928780016102
"62","170701020307","Slight",806.82114140771
"63","170701020303","Slight",716.950903772638
"64","170601070804","Not rated",624.940287030246
"65","170701020502","Slight",600.483320881802
"66","170601070704","Not rated",582.668263086537
"67","170601070703","Moderate",579.442928029532
