huc12,project,count
170601070608,FISH SCREEN,24
170601070608,FISH STREAM IMPROVEMENT,23
170601070704,IRRIGATION SYSTEM,12
170601070608,IRRIGATION SYSTEM,11
170701020308,FISH SCREEN,11
170601070603,FISH STREAM IMPROVEMENT,9
170701020401,FISH SCREEN,7
170601070606,FISH SCREEN,5
170601070606,FISH STREAM IMPROVEMENT,5
170601070608,WATERING FACILITY,5
170601070703,FISH SCREEN,5
170701020302,FISH SCREEN,5
170701020304,IRRIGATION SYSTEM,5
170601070506,WATERING FACILITY,4
170701020302,WATERING FACILITY,4
170701020303,FISH STREAM IMPROVEMENT,4
170701020308,FLOW METER,4
170601070607,FENCING,3
170601070608,STREAMBANK STABILIZATION,3
170601070608,TREE / SHRUB PLANTING,3
170601070701,FISH STREAM IMPROVEMENT,3
170701020304,FISH SCREEN,3
170701020401,FISH STREAM IMPROVEMENT,3
170601070702,FLOW METERS,2
170601070703,FISH STREAM IMPROVEMENT,2
170601070704,FISH STREAM IMPROVEMENT,2
170701020302,FISH STREAM IMPROVEMENT,2
170701020303,WATERING FACILITY,2
170701020304,FISH STREAM IMPROVEMENT,2
170701020304,FLOW METER,2
170701020305,WATERING FACILITY,2
170701020503,WATERING FACILITY,2
170601070505,WATER METER/ FISH SCREEN,1
170601070506,PUMP SITE,1
170601070606,FENCING,1
170601070606,FISH SCREEN/ FLOW METER,1
170601070606,FLOW METERS,1
170601070606,RIPARIAN BUFFER ESTABLISHMENT,1
170601070606,STREAMBANK STABILIZATION,1
170601070606,WATER METER/ FISH SCREEN,1
170601070607,WATERING FACILITY,1
170601070608,CREP BUFFER ESTABLISHMENT,1
170601070608,FISH SCREEN/ FLOW METER,1
170601070608,STREAM HABITAT IMPROVEMENT AND MANAGEMENT,1
170601070608,TREE/ SHRUB ESTABLISHMENT,1
170601070608,WATER METER/ FISH SCREEN,1
170601070701,WATERING FACILITY,1
170601070702,SPRING DEVELOPMENT,1
170601070702,WATERING FACILITY,1
170601070703,WATERING FACILITY,1
170601070704,FLOW METERS,1
170701020303,FENCING,1
170701020303,FISH SCREEN,1
170701020304,STREAMBANK STABILIZATION,1
170701020304,WATER METER,1
170701020306,USE EXCLUSION,1
170701020306,WATERING FACILITY,1
170701020308,FISH STREAM IMPROVEMENT,1
170701020308,,1
170701020401,FENCING,1
170701020401,FLOW METER,1
170701020401,IRRIGATION STSTEM,1
170701020403,FENCING,1
170701020403,WATERING FACILITY,1
170701020502,COMPOST FACILITY,1
