"","huc12","count"
"1","170601070603",32
"2","170601070608",31
"3","170701020308",22
"4","170601070606",20
"5","170701020401",15
"6","170701020302",8
"7","170601070701",7
"8","170701020304",7
"9","170601070703",6
"10","170701020301",6
"11","170601070604",5
"12","170601070704",5
"13","170701020303",5
"14","170701020305",4
"15","170601070505",3
"16","170701020402",3
"17","170601070506",2
"18","170601070605",2
"19","170701020307",2
"20","170601070602",1
"21","170601070607",1
"22","170601070702",1
"23","170601070808",1
