"","huc12","crop","crop_name","acres"
"1",170601070506,1,"Corn",0.444788
"2",170601070506,5,"Soybeans",0.222394
"3",170601070506,21,"Barley",110.08503
"4",170601070506,23,"Spring Wheat",573.77652
"5",170601070506,24,"Winter Wheat",521.736324
"6",170601070506,31,"Canola",52.040196
"7",170601070506,36,"Alfalfa",73.834808
"8",170601070506,37,"Other Hay/Non Alfalfa",0.444788
"9",170601070506,51,"Chick Peas",0.667182
"10",170601070506,53,"Peas",60.04638
"11",170601070506,61,"Fallow/Idle Cropland",988.096542
"12",170601070506,67,"Peaches",1.556758
"13",170601070506,68,"Apples",1.779152
"14",170601070506,69,"Grapes",0.222394
"15",170601070506,70,"Christmas Trees",1.556758
"16",170601070506,121,"Developed/Open Space",87.400842
"17",170601070506,122,"Developed/Low Intensity",29.133614
"18",170601070506,123,"Developed/Med Intensity",3.33591
"19",170601070506,124,"Developed/High Intensity",1.11197
"20",170601070506,142,"Evergreen Forest",6.894214
"21",170601070506,143,"Mixed Forest",0.667182
"22",170601070506,152,"Shrubland",240.18552
"23",170601070506,176,"Grassland/Pasture",11735.064198
"24",170601070506,190,"Woody Wetlands",3.113516
"25",170601070601,121,"Developed/Open Space",1.11197
"26",170601070601,122,"Developed/Low Intensity",0.667182
"27",170601070601,142,"Evergreen Forest",5631.683262
"28",170601070601,152,"Shrubland",2209.261996
"29",170601070601,176,"Grassland/Pasture",1258.75004
"30",170601070602,121,"Developed/Open Space",2.446334
"31",170601070602,122,"Developed/Low Intensity",1.556758
"32",170601070602,123,"Developed/Med Intensity",0.222394
"33",170601070602,124,"Developed/High Intensity",0.222394
"34",170601070602,142,"Evergreen Forest",12247.015186
"35",170601070602,152,"Shrubland",2551.303968
"36",170601070602,176,"Grassland/Pasture",1461.573368
"37",170601070603,24,"Winter Wheat",0.889576
"38",170601070603,67,"Peaches",0.667182
"39",170601070603,68,"Apples",2.891122
"40",170601070603,71,"Other Tree Crops",0.222394
"41",170601070603,77,"Pears",1.334364
"42",170601070603,111,"Open Water",16.012368
"43",170601070603,121,"Developed/Open Space",27.132068
"44",170601070603,122,"Developed/Low Intensity",13.34364
"45",170601070603,123,"Developed/Med Intensity",0.667182
"46",170601070603,124,"Developed/High Intensity",0.222394
"47",170601070603,142,"Evergreen Forest",7633.006868
"48",170601070603,152,"Shrubland",8108.707634
"49",170601070603,176,"Grassland/Pasture",6283.74247
"50",170601070603,190,"Woody Wetlands",0.222394
"51",170601070603,195,"Herbaceous Wetlands",0.444788
"52",170601070604,121,"Developed/Open Space",8.673366
"53",170601070604,142,"Evergreen Forest",2023.340612
"54",170601070604,152,"Shrubland",2553.08312
