"","huc12","WETLAND_TY","acres"
"1","170601070807","Lake",1525.33735560984
"2","170601070808","Lake",924.061700969704
"3","170601070804","Lake",617.359288954469
"4","170601070704","Freshwater Forested/Shrub Wetland",98.218287798182
"5","170601070608","Freshwater Forested/Shrub Wetland",89.1108787891602
"6","170601100102","Lake",83.9943980714372
"7","170701020401","Freshwater Forested/Shrub Wetland",83.6390892157374
"8","170701020401","Riverine",73.7537708235246
"9","170601070608","Freshwater Emergent Wetland",68.0104937027907
"10","170601070701","Freshwater Forested/Shrub Wetland",54.0714281122599
"11","170701020304","Riverine",48.3818691335897
"12","170601070704","Freshwater Emergent Wetland",34.9261347384396
"13","170601070703","Freshwater Forested/Shrub Wetland",32.3217508635694
"14","170601070805","Lake",28.3461654612133
"15","170601070806","Lake",28.3315774250985
"16","170601070603","Freshwater Pond",25.998582789334
"17","170701020401","Freshwater Emergent Wetland",23.2723500724725
"18","170701020308","Freshwater Emergent Wetland",17.8369415691482
"19","170601070606","Freshwater Emergent Wetland",17.0012806209677
"20","170701020501","Freshwater Emergent Wetland",16.7136657907082
"21","170601070606","Freshwater Forested/Shrub Wetland",14.1979267846399
"22","170701020304","Other",11.6008021231326
"23","170601070608","Riverine",11.3030073989515
"24","170601070703","Riverine",10.7347366992151
"25","170701020303","Riverine",10.5358118941782
"26","170701020302","Freshwater Forested/Shrub Wetland",10.1392169197906
"27","170701020303","Other",9.84544823014577
"28","170701020302","Freshwater Emergent Wetland",9.70964923291961
"29","170701020401","Other",9.46776685774416
"30","170601070701","Freshwater Emergent Wetland",8.6294140089012
"31","170701020304","Freshwater Forested/Shrub Wetland",8.45355973741129
"32","170601070704","Lake",8.37462840921709
"33","170701020501","Freshwater Forested/Shrub Wetland",8.27058092620562
"34","170601070701","Riverine",8.05426938179058
"35","170701020302","Freshwater Pond",7.92524422613329
"36","170701020402","Freshwater Forested/Shrub Wetland",7.1288244864753
"37","170601070607","Freshwater Emergent Wetland",7.05688140485197
"38","170701020303","Freshwater Pond",6.52235200157227
"39","170601070606","Freshwater Pond",6.23207169545606
"40","170601070606","Riverine",5.99683094144857
"41","170601070703","Freshwater Emergent Wetland",5.88742070891107
"42","170601070608","Other",5.70301510816567
"43","170701020305","Freshwater Pond",5.61563963828306
"44","170701020302","Riverine",5.57633381300505
"45","170601070808","Freshwater Emergent Wetland",5.5481736744752
"46","170601070603","Freshwater Forested/Shrub Wetland",5.41556234584145
"47","170701020401","Freshwater Pond",5.23437689495066
"48","170701020308","Freshwater Forested/Shrub Wetland",4.81266791557117
"49","170601070603","Freshwater Emergent Wetland",4.4243740960272
"50","170601070805","Freshwater Emergent Wetland",4.37712649598329
"51","170601070608","Freshwater Pond",4.29283945785149
"52","170701020307","Freshwater Forested/Shrub Wetland",4.12389648128661
"53","170701020502","Freshwater Forested/Shrub Wetland",3.81590023560041
"54","170701020503","Freshwater Forested/Shrub Wetland",3.8049979635361
"55","170701020307","Freshwater Emergent Wetland",3.77893867516907
"56","170601070603","Riverine",3.45439429933305
"57","170701020304","Freshwater Pond",3.34102835638099
"58","170601070506","Freshwater Emergent Wetland",3.2082826641673
"59","170601070506","Freshwater Forested/Shrub Wetland",3.08023419475894
"60","170601070603","Other",3.04022081560652
"61","170701020402","Freshwater Emergent Wetland",2.87404182424233
"62","170601070808","Freshwater Forested/Shrub Wetland",2.3177027681728
"63","170601070607","Freshwater Forested/Shrub Wetland",2.29410115716465
"64","170601070702","Freshwater Forested/Shrub Wetland",2.22962274479258
"65","170601070704","Riverine",2.20730300566342
"66","170601100102","Freshwater Forested/Shrub Wetland",2.14195692875754
"67","170701020403","Freshwater Emergent Wetland",2.03993598726454
"68","170701020303","Freshwater Forested/Shrub Wetland",2.01958723750858
"69","170701020308","Other",1.94252150496246
"70","170701020308","Freshwater Pond",1.76293296587141
"71","170701020305","Freshwater Emergent Wetland",1.67764499753127
"72","170701020307","Freshwater Pond",1.64530625260319
"73","170601070703","Freshwater Pond",1.60851273750414
"74","170701020402","Freshwater Pond",1.49144692919707
"75","170701020304","Freshwater Emergent Wetland",1.2577338035373
"76","170601070807","Freshwater Pond",1.08145144099441
"77","170701020404","Freshwater Pond",1.02721952920238
"78","170701020301","Freshwater Forested/Shrub Wetland",0.973622386844999
"79","170701020308","Riverine",0.738798706776147
"80","170701020303","Freshwater Emergent Wetland",0.71848559899164
"81","170701020307","Riverine",0.685471910880031
"82","170701020306","Freshwater Pond",0.590595459910473
"83","170701020501","Freshwater Pond",0.537517786921257
"84","170601070506","Freshwater Pond",0.284013709045186
"85","170601070704","Other",0.231194367404616
"86","170601070804","Freshwater Emergent Wetland",0.230890452621601
"87","170701020402","Other",0.169298158235548
"88","170601070607","Freshwater Pond",0.15800071317939
"89","170601060308","Riverine",0.144927345961704
"90","170601060308","Freshwater Forested/Shrub Wetland",0.0713540718589935
