"","fid_1","OBJECTID","TNMID","MetaSource","LoadDate","AreaSqKm","AreaAcres","Name","States","HUC12","HUType","HUMod","ToHUC","Shape_Leng","Shape_Area","NHDPlusID","VPUID","SRP_NUM","SRP_NAME","SRP_Metric","SRP_ACRES","OID_","HUC_Acres","Mod_Ac_Wtr","Moderate_W","Severe_Ac_","Severe_Wtr","No_WtrEr","Acres_Weg","Perc_Weg","No_Weg","Notes","Source","RM_Elk_Per","Mule_Deer_","NW_WT_Deer","RN_Pheasan","WtrFowl_Pe","Cliff_Bluf","Chukar_Per","BH_Sheep_P","No_WtrEr_A","No_Weg_Ac","RM_Elk_Ac","Mule_Dr_Ac","NWWT_Dr_Ac","RN_Phea_Ac","WtrFowl_Ac","Cliff_Ac","Chuckar_Ac","BHSheep_Ac","Freshwater Emergent Wetland","Freshwater Forested/Shrub Wetland","Freshwater Pond","Lake","Other","Riverine","FLDACRE","GEOMOD","GEONR","GEOSEV","GEOSLI","GEONA"
"1",1,84,"{04E84848-1E67-4D74-A5BF-A0F526470C23}",NA,"2013/01/18 07:09:21.000",107.28,26509.34,"Town of Central Ferry-Snake River","WA","170601070804","S","TF","170601070807",0.638684735825515,0.012609890331281,55000600282200,"1706",0,NA,NA,0,12,880.82,45.12,0.0512,257.12,0.2919,0.6569,88.25,0.1002,0.8998,"Severe Crop","WA613",0,0.112339207,0,0,0.659434304,0.022865198,0.308051942,0,578.6107,792.5618,0,98.9506,0,0,580.8429,20.1401,271.3383,0,0.27564777366193,0,0,570.889492904126,0,0,618.468048434837,45.0569860628777,577.457834516376,256.623173516201,0,1.98545741678988
"2",2,85,"{D2711D6F-0FE9-44B3-BD5B-F56E4812B398}",NA,"2013/01/18 07:09:21.000",62.67,15486.07,"Town of Starbuck-Tucannon River","WA","170601070703","S","TF","170601070704",0.573648794891854,0.007345698124514,55000600282200,"1706",0,NA,NA,0,3,15476.19,580.25,0.0375,14326.51,0.9257,0.0368,2307.37,0.1491,0.8509,NA,"WA613",0,8e-04,0.294206756,0.067088063,0,0.006269728,5.09e-05,0,569.5238,13168.6901,0,11.7615,4553.1997,1038.2676,0,97.0315,0.7877,0,5.78309841125134,32.0352575209671,1.60720285350603,0,0,10.6591044020465,245.761380456616,577.549483117819,235.983890411018,14298.8339055788,277.872481534601,0
"3",3,86,"{0E938DDE-AD95-48ED-AAD6-2086F9889E07}",NA,"2013/01/18 07:09:21.000",34.13,8434.39,"Tucannon River","WA","170601070704","S","TF","170601070808",0.416132647368502,0.004001438214509,55000600282200,"1706",0,NA,NA,0,1,8429.26,187.89,0.0223,7286.4,0.8644,0.11,1824.99,0.2186,0.7835,NA,"WA613",0,0.210339367,0.000311105,0.040014498,0,0.029479301,0.016721652,0,927.2186,6604.3252,0,1773.0052,2.6224,337.2926,0,248.4887,140.9512,0,35.3736778045656,98.2646096127667,0,8.37268813327258,0.246332348864918,2.32094046739168,272.271083501893,187.38088387586,582.057055029438,7270.52517220634,302.93392657388,0
"4",4,90,"{BDC5C032-D6D6-4A4B-8119-4A59C863F16B}","{B1AC9B54-3E77-434F-BC92-AFE77DE72C8E}","2016/11/18 10:25:29.000",58.86,14544.63,"New York Gulch","WA","170601070805","S","TF","170601070807",0.609054432171285,0.006904300501154,55000600282200,"1706",0,NA,NA,0,11,610.6,33.49,0.0548,553.97,0.9072,0.038,124.5,0.2039,0.7961,"Severe Crop","WA613",0,0.892591285,0,0.038050828,0.07306546,0,0.892591285,0,23.2028,486.0987,0,545.0162,0,23.2338,44.6138,0,545.0162,0,4.48931849333137,0,0,28.4408050970936,0,0,36.9391873310893,33.439791747481,23.1078213451831,552.889886558495,0,2.25767219354992
"5",5,91,"{E190A83D-FCFF-484F-931F-E4BFCB034EE8}","{B1AC9B54-3E77-434F-BC92-AFE77DE72C8E}","2016/11/18 10:25:31.000",43.12,10655.41,"Dry Gulch","WA","170601070806","S","TF","170601070807",0.647754060787416,0.005057018934316,55000600282200,"1706",0,NA,NA,0,0,3240.47674395,0,0,0,0,0,0,0,0,NA,"WA613",0,0.910282751,0,0,0.016815755,0,0.910282751,0,0,0,0,2949.7501,0,0,54.4911,0,2949.7501,0,0,0,0,28.3775104265985,0,0,38.476832753569,3.6193614164106,27.4821751626519,3160.83461658549,41.4953608134305,0.793371763955144
"6",6,367,"{A9C9707B-5729-479B-AD2D-81F219E39012}","{34968E48-60BF-4A40-97FC-E009B822A946}","2013/01/18 07:09:21.000",79.59,19667.91,"Choke Cherry Spring-Snake River","WA","170601070808","S","TF","170601100102",0.607469343860935,0.009340185336477,55000600282100,"1706",0,NA,NA,0,2,8349.88,99.41,0.0119,5859.68,0.7018,0.2863,598.62,0.0717,0.929,NA,"WA613",0,0.639631555,0,0.001766709,0.122143513,0.050648626,0.551776514,0,2390.5706,7757.0385,0,5340.8467,0,14.7518,1019.8837,422.9099,4607.2677,0,5.5811105019053,2.281383565136,0,881.751566894606,0,0,982.023210171703,99.1814128434468,2265.85130288953,5848.07020099203,116.656927802811,21.0827902570316
"7",7,377,"{6055BEA9-5A99-460A-B8B5-9A4AB978D0BB}","{E99CB89E-86C5-46FA-932D-BF4C5BA21F65}","2016/11/18 09:44:55.000",47.75,11800.15,"Butte Creek","OR,WA","170601060307","S","NM","170601060308",0.381177183134385,0.005548428357552,55000600282800,"1706",0,NA,NA,0,0,9633.51731927,0,0,0,0,0,0,0,0,"Unavailable Data","NONE",0.69923404,0,0,0,0,0,0,0,0,0,6736.0832,0,0,0,0,0,0,0,0,0,0,0,0,0.018026166714999,NA,NA,NA,NA,NA,NA
"8",10,542,"{DDD7A0AC-995E-48EC-A8D6-A0D1359CF492}",NA,"2013/01/18 07:09:21.000",79.47,19638.21,"Cross Canyon-Wenaha River","OR,WA","170601060308","S","NM","170601060312",0.532037224199632,0.00922706403231,55000600282800,"1706",0,NA,NA,0,0,5053.34207877,0,0,0,0,0,0,0,0,"Unavailable Data","NONE",0.820282301,0,0,0,0,0,0,0.020086136,0,0,4145.1671,0,0,0,0,0,0,101.5021,0,0.107382332900963,0,0,0,0.259730431885861,NA,NA,NA,NA,NA,NA
"9",11,543,"{024651F9-B35E-49A0-A080-0219D42A44C4}",NA,"2013/01/18 07:09:21.000",68.48,16921.75,"Lower Crooked Creek","OR,WA","170601060311","S","TF","170601060312",0.528659813741911,0.007960529363372,55000600282800,"1706",0,NA,NA,0,0,1721.11277923,0,0,0,0,0,0,0,0,"Unavailable Data","NONE
NONE",0.068632894,0.068632894,0,0,0,0,0,0.974514141,0,0,118.125,118.125,0,0,0,0,0,1677.2487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",14,634,"{F130C15B-0126-49CA-AD0F-B40CED6CE64C}",NA,"2013/01/18 07:09:21.000",77.79,19221.97,"Linville Gulch","WA","170601070504","S","TF","170601070505",0.49402499041011,0.009100041391909,55000600282600,"1706",0,NA,NA,0,15,89.74,38.53,0.4293,51.21,0.5707,0,0,0,1,"Severe Crop","WA613",0,0,0.224623959,0,0,0,0,0,0,89.74,0,0,20.1578,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,38.4431338023976,0,51.1338565015425,0,2.34371093325729
"11",15,662,"{C0E4B759-030F-403B-99A9-55356D458191}",NA,"2013/01/18 07:09:21.000",74.59,18431.98,"Dry Hollow-Pataha Creek","WA","170601070506","S","TF","170601070701",0.592298113829651,0.008742884507142,55000600282200,"1706",3497,"BLC Riparian Restoration
","Upland Acres Managed for Livestock (C.6.j.3)
",500,8,14480.97,1235.89,0.0853,12778.36,0.8824,0.0323,798.04,0.0551,0.9449,"Partial Crop","WA613",0,0.401121999,0.325657704,0.053002144,0,3.77e-06,0.003335439,0,467.7353,13683.0686,0,5808.6356,4715.8394,767.5225,0,0.0546,48.3004,0,3.27042924802981,3.04859653827262,0.318993331859167,0,0,0,323.737226413558,1233.05909774744,13.0122703511746,12754.0382372618,452.720998478911,1.9094239266843
