"","Acres","Irrigation","InitialSur","LastSurvey","DataSource","TRS","County","CoverCrop","ExactAcres","CropGroup","SHAPE_Leng","SHAPE_Area","AQ_Class","Orig_Class","DN","Orig_Cla_1","AQ1","Area_Ac"
"1",9,"None",2003-10-22,2021-12-31,"NASS","T12R40E7","Garfield",NA,8.9776223577,"Cereal Grain",890.333473135,36331.1486961,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.0890470462211209
"2",41,"None",2004-08-25,2021-12-31,"NASS","T09R37E24","Walla Walla",NA,40.5913490929,"Cereal Grain",1837.66640969,164267.36177,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.289802734903695
"3",7,"None",2004-08-25,2021-12-31,"NASS","T08R38E5","Walla Walla",NA,7.40114131197,"Cereal Grain",842.053396772,29951.3562514,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.263672180052314
"4",33,"None",2005-03-17,2021-12-31,"NASS","T08R38E1","Walla Walla",NA,33.3446482907,"Cereal Grain",2728.99438639,134941.004088,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.0427009236028655
"5",13,"None",2002-08-13,2021-12-31,"NASS","T09R37E3","Walla Walla",NA,12.7861678669,"Cereal Grain",2091.3501836,51743.7855501,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.509331854334913
"6",21,"None",2005-03-17,2021-12-31,"NASS","T11R41E7","Garfield",NA,20.8488433744,"Other",1345.05785308,84372.2757091,"Crops - Dryland","Other",71,"Grasslands","Crops - Dryland",0.00586806497948714
"7",245,"None",2004-09-22,2021-12-31,"NASS","T12R36E25","Walla Walla",NA,244.680678445,"Other",5669.3810897,990187.575003,"Crops - Dryland","Other",71,"Grasslands","Crops - Dryland",0.156453727335956
"8",8,"None",2004-10-20,2021-12-31,"NASS","T12R36E24","Walla Walla",NA,8.27226095867,"Other",1150.72599963,33476.6523884,"Crops - Dryland","Other",71,"Grasslands","Crops - Dryland",0.00230638225360206
"9",8,"None",2004-10-20,2021-12-31,"NASS","T12R36E24","Walla Walla",NA,8.27226095867,"Other",1150.72599963,33476.6523884,"Crops - Dryland","Other",82,"Cultivated Crops","Crops - Dryland",0.00583269497611174
"10",50,"None",2002-08-13,2021-12-31,"NASS","T09R37E3","Walla Walla",NA,49.9709295649,"Cereal Grain",2329.5856172,202225.177243,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.05251626642998
"11",31,"None",2004-08-25,2021-12-31,"NASS","T08R38E6","Walla Walla",NA,31.0801531039,"Vegetable",2182.93657701,125776.917198,"Crops - Dryland","Vegetable",82,"Cultivated Crops","Crops - Dryland",0.301843987338998
"12",81,"None",2005-05-31,2021-12-31,"NASS","T10R41E3","Garfield",NA,80.8581039793,"Cereal Grain",3231.90472367,327221.137392,"Crops - Dryland","Cereal Grain",21,"Developed Open Space","Crops - Dryland",0.0150663813775459
"13",96,"None",2005-05-31,2021-12-31,"NASS","T12R40E34","Garfield",NA,96.2583123428,"Cereal Grain",2508.37714657,389543.569514,"Crops - Dryland","Cereal Grain",21,"Developed Open Space","Crops - Dryland",0.610465873901944
"14",96,"None",2005-05-31,2021-12-31,"NASS","T12R40E34","Garfield",NA,96.2583123428,"Cereal Grain",2508.37714657,389543.569514,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.0338484985806951
