"","HUC12","OBJECTID","Irrigation","AQ_Classif","AQ_Source","Orig_Class","Shape_Leng","Shape_Area","SquareFT","ACRES","Area_ft","Area_Ac","Acres_in_huc"
"17...1","170601070606",43827,NA,"Crops – Dryland","USDA 2011","Winter Wheat",256.581018544,2404.00434203,2404,2.233402049,0,0.0551885897953872,0.0579232856676481
"17.1...2","170601070606",43828,NA,"Crops – Dryland","USDA 2011","Spring Wheat",267.494474152,2951.8787991,2952,2.742396111,0,0.0677660516114385,0.0676033326697631
"17.2...3","170601070606",43829,NA,"Crops – Dryland","USDA 2011","Winter Wheat",393.812473501,9693.01651777,9693,9.005143033,0,0.222521930420491,0.221937971677233
"17.3...4","170601070606",43830,NA,"Rangeland","USDA 2011","Shrubland",590.720192478,19386.1305605,19390,18.01,0.445046099752297,0.439643007481262,0.438560648679673
"17.4...5","170601070606",43831,NA,"Rangeland","USDA 2011","Grassland/Pasture",3544.32049925,213247.22641,213200,198.1,4.89550228194934,4.73230731999255,4.71920268268283
"17.5...6","170601070606",43870,NA,"Rangeland","USDA 2011","Grassland/Pasture",393.813784556,9693.08105662,9693,9.005202992,0.222523412053819,0.174725903467177,0.174305039481109
"17.6...7","170601070606",43902,NA,"Non-Ag Land","USDA 2011","Developed/Open Space",1794.7015955,45420.1240904,45420,42.2,0,0.0982208684577574,0.00819424369480252
"17.7...8","170601070606",43903,NA,"Crops – Dryland","USDA 2011","Barley",908.209268818,20304.7743238,20300,18.86,0,0.466135275976772,0.465003201715197
"17.8...9","170601070606",43904,NA,"Crops – Dryland","USDA 2011","Spring Wheat",590.718167725,19385.9971883,19390,18.01,0,0.445043037955666,0.443977834618063
"17.9...10","170601070606",43905,NA,"Rangeland","USDA 2011","Evergreen Forest",19900.0777708,1970181.33878,1970000,1830,45.2293209259,30.5993621722,30.5192347933762
"17.10...11","170601070606",43906,NA,"Rangeland","USDA 2011","Grassland/Pasture",393.812815785,9693.0333673,9693,9.005158687,0.222522317253205,0.222522317253779,0.221995259566052
"17.11...12","170601070606",43907,NA,"Rangeland","USDA 2011","Shrubland",6140.30352751,398438.243978,398400,370.2,9.14692005820727,9.0734704044028,9.05036579802676
"17.12...13","170601070606",43946,NA,"Crops – Dryland","USDA 2011","Barley",24178.6806944,487928.706342,487900,453.3,0,10.5530299483,10.4815766729128
"17.13...14","170601070606",43947,NA,"Non-Ag Land","USDA 2011","Developed/Open Space",4304.2584381,92223.8041189,92220,85.68,0,0.0947404784735966,0.00777335837978765
"17.14...15","170601070606",43948,NA,"Crops – Dryland","USDA 2011","Winter Wheat",334.981837468,6758.21305781,6758,6.278610495,0,0.15514795781313,0.154746423439465
"17.15...16","170601070606",43949,NA,"Rangeland","USDA 2011","Evergreen Forest",393.812786745,9693.03193768,9693,9.005157359,0.222522284433418,0.222522284385883,0.222009983866845
"17.16...17","170601070606",43950,NA,"Rangeland","USDA 2011","Shrubland",393.81275766,9693.03050599,9693,9.005156029,0.222522251566378,0.222522251546471,0.222038165815506
"17.17...18","170601070606",43995,NA,"Crops – Dryland","USDA 2011","Winter Wheat",387.13927748,9568.19503652,9568,8.889179619,0,0.219656422834589,0.219424791554226
"17.18...19","170601070606",43996,NA,"Crops – Dryland","USDA 2011","Winter Wheat",303.704200269,4487.108197,4487,4.168676598,0,0.103010281088801,0.104147756802305
"17.19...20","170601070606",43997,NA,"Crops – Dryland","USDA 2011","Winter Wheat",393.812131202,9692.9996676,9693,9.005127379,0,0.222521543615279,0.221999276770405
"17.20...21","170601070606",43998,NA,"Rangeland","USDA 2011","Shrubland",265.377211613,3369.93124635,3370,3.130781097,0.0773632857235061,0.0773632857193794,0.077192779743726
"17.21...22","170601070606",44027,NA,"Non-Ag Land","USDA 2011","Developed/Open Space",2395.00718077,36139.3876098,36140,33.57,0,0.238057750287646,0.224485932069051
"17.22...23","170601070606",44031,NA,"Non-Ag Land","USDA 2011","Developed/Open Space",879.565999156,18066.2672435,18070,16.78,0,0.0131231497424048,6.79381385464726e-05
"17.23...24","170601070606",44032,NA,"Crops – Dryland","USDA 2011","Winter Wheat",440.686295861,4602.85382275,4603,4.276208233,0,0.104668880061149,0.104343438417085
"17.24...25","170601070606",44033,NA,"Rangeland","USDA 2011","Shrubland",261.063043439,3155.20982535,3155,2.931297571,0.0724339404550544,0.0719756302428048,0.0718269384059482
"17.25...26","170601070606",44072,NA,"Crops – Dryland","USDA 2011","Spring Wheat",289.342153674,4537.3377634,4537,4.215341579,0,0.104163310391376,0.103941944591021
"17.26...27","170601070606",44073,NA,"Rangeland","USDA 2011","Evergreen Forest",393.812444446,9693.0150875,9693,9.005141704,0.222521897605094,0.222521897609211,0.222001451004896
"17.27...28","170601070606",44074,NA,"Rangeland","USDA 2011","Shrubland",393.812473531,9693.01651924,9693,9.005143035,0.222521930473369,0.22252193044648,0.222042138846979
"17.28...29","170601070606",44115,NA,"Rangeland","USDA 2011","Grassland/Pasture",133.974806503,849.524433821,849.5,0.789237182,0.0195024754804642,0.0195024762846893,0.0194674508220511
"17.29...30","170601070606",44116,NA,"Rangeland","USDA 2011","Grassland/Pasture",33255.7685594,2924302.46277,2924000,2717,67.1330156109,66.8635571496,66.664581056473
"17.30...31","170601070606",44117,NA,"Rangeland","USDA 2011","Shrubland",620.187955707,20833.7170124,20830,19.36,0.478278244891561,0.368348856474599,0.366276224561406
"17.31...32","170601070606",44118,NA,"Rangeland","USDA 2011","Shrubland",894.540092782,39099.5241969,39100,36.32,0.897605156002306,0.896763633852832,0.894651985460375
"17.32...33","170601070606",44119,NA,"Rangeland","USDA 2011","Grassland/Pasture",408.453390305,10413.2690035,10410,9.674282165,0.239056718472912,0.239056718453981,0.238482339405474
"17.33...34","170601070606",44120,NA,"Rangeland","USDA 2011","Shrubland",590.719194637,19386.0653057,19390,18.01,0.445044601703445,0.445044601639179,0.44408459580904
"17.34...35","170601070606",44121,NA,"Rangeland","USDA 2011","Shrubland",590.719850164,19386.1129935,19390,18.01,0.445045696469667,0.385219026494783,0.384290088718484
"17.35...36","170601070606",44163,NA,"Crops – Dryland","USDA 2011","Peas",159.859870997,1014.66698876,1015,0.942660249,0,0.0232936805607371,0.0220808648992663
"17.36...37","170601070606",44164,NA,"Rangeland","USDA 2011","Grassland/Pasture",393.8128158,9693.033368,9693,9.005158688,0.222522317269281,0.222522317255952,0.222044391914414
"17.37...38","170601070606",44165,NA,"Rangeland","USDA 2011","Evergreen Forest",393.81244443,9693.01508674,9693,9.005141704,0.222521897587525,0.22252189760928,0.221905211774507
"17.38...39","170601070606",44166,NA,"Rangeland","USDA 2011","Shrubland",393.812444416,9693.01508604,9693,9.005141703,0.222521897571448,0.222521897551332,0.222044303705879
"17.39...40","170601070606",44167,NA,"Rangeland","USDA 2011","Evergreen Forest",984.532636879,38772.2091353,38770,36.02,0.890091006075382,0.301872960220508,0.301216551221001
"17.40...41","170601070606",44197,NA,"Crops – Dryland","USDA 2011","Spring Wheat",141.911825413,636.699174955,636.7,0.591515255,0,0.0146166871805934,0.0146014650278493
"17.41...42","170601070606",44198,NA,"Crops – Dryland","USDA 2011","Winter Wheat",1290.62639478,49566.4460457,49570,46.05,0,1.13789339440506,1.1374628005889
"17.42...43","170601070606",44199,NA,"Crops – Dryland","USDA 2011","Winter Wheat",393.812444446,9693.0150875,9693,9.005141704,0,0.222521897608851,0.222045439988351
"17.43...44","170601070606",44200,NA,"Rangeland","USDA 2011","Shrubland",590.719165553,19386.0463071,19390,18.01,0.445044165554523,0.445044165590827,0.443935535721023
"17.44...45","170601070606",44201,NA,"Rangeland","USDA 2011","Shrubland",405.711886334,10278.3144097,10280,9.548904743,0.23595857490929,0.235958574902509,0.235408776727249
"17.45...46","170601070606",44202,NA,"Rangeland","USDA 2011","Shrubland",393.813442273,9693.06420716,9693,9.005187338,0.22252302524183,0.222523025276523,0.221986842185835
"16","170601070605",44203,NA,"Rangeland","USDA 2011","Grassland/Pasture",7077.63526541,240310.518682,240300,223.3,5.51679246848076,4.81818601292308,0.0140758538430049
"17.46...48","170601070606",44203,NA,"Rangeland","USDA 2011","Grassland/Pasture",7077.63526541,240310.518682,240300,223.3,5.51679246848076,4.81818601292308,4.76853656595325
"16.1","170601070605",44205,NA,"Non-Ag Land","USDA 2011","Developed/Open Space",563.33207801,17349.1751711,17350,16.12,0,0.0128252865280545,0.0128018160602668
"16.2","170601070605",44206,NA,"Rangeland","USDA 2011","Grassland/Pasture",357.867607571,7887.82786966,7888,7.328061193,0.181080335653594,0.0540485927729867,0.053911926140855
"16.3","170601070605",44207,NA,"Non-Ag Land","USDA 2011","Developed/Open Space",909.605777451,20761.8867419,20760,19.29,0,0.0558364192271344,0.0556782531065388
"16.4","170601070605",44209,NA,"Non-Ag Land","USDA 2011","Developed/Open Space",713.017300103,17975.7851912,17980,16.7,0,0.00166376920737329,0.00161872428566908
"17.47...53","170601070606",44251,NA,"Crops – Dryland","USDA 2011","Spring Wheat",389.521566207,9651.97889117,9652,8.967017678,0,0.221579906503236,0.220991313079299
"17.48...54","170601070606",44252,NA,"Rangeland","USDA 2011","Evergreen Forest",1575.25014906,96930.1691488,96930,90.05,2.22521939556148,2.22521939547089,2.21978283552201
"17.49...55","170601070606",44253,NA,"Rangeland","USDA 2011","Shrubland",590.718852338,19386.0477396,19390,18.01,0.445044198440367,0.445044198491022,0.443952454564365
"17.50...56","170601070606",44254,NA,"Rangeland","USDA 2011","Shrubland",203.323076964,315.404350824,315.4,0.293021402,0.00724071653914835,0.00724071652548449,0.00438236864608112
"17.51...57","170601070606",44255,NA,"Rangeland","USDA 2011","Shrubland",629.96040094,5793.92509357,5794,5.382754078,0.133010749984944,0.133010749965703,0.13270173835104
"16.5","170601070605",44257,NA,"Non-Ag Land","USDA 2011","Developed/Open Space",1816.96277216,58962.8468956,58960,54.78,0,0.0833616796738352,0.0722628078713041
"16.6","170601070605",44258,NA,"Rangeland","USDA 2011","Evergreen Forest",393.81412687,9693.09790767,9693,9.005218647,0.222523798902183,0.0632150030436337,0.0630697457935924
"16.7","170601070605",44259,NA,"Rangeland","USDA 2011","Grassland/Pasture",393.813442258,9693.0642064,9693,9.005187338,0.22252302522426,0.2142354906357,0.213746856357325
"16.8","170601070605",44260,NA,"Rangeland","USDA 2011","Grassland/Pasture",984.534319319,38772.2933882,38770,36.02,0.890092940261789,0.169005444703469,0.16857796452299
"17.52...62","170601070606",44307,NA,"Crops – Dryland","USDA 2011","Spring Wheat",95.7443810238,291.998787905,292,0.271276836,0,0.00670338511021129,0.00787224658352502
"16.9","170601070605",44309,NA,"Rangeland","USDA 2011","Grassland/Pasture",590.720847991,19386.1628292,19390,18.01,0.445046840543139,0.382147695454362,0.381242618517076
"17.53...64","170601070606",44347,NA,"Non-Ag Land","USDA 2011","Developed/Open Space",1250.51397929,18688.0055446,18690,17.36,0,0.0100220918338055,0.0099962571180704
"17.54...65","170601070606",44348,NA,"Crops – Dryland","USDA 2011","Dry Beans",384.084725077,9374.5188039,9375,8.709247791,0,0.215210034956427,0.214673146609806
"17.55...66","170601070606",44349,NA,"Rangeland","USDA 2011","Evergreen Forest",393.812786745,9693.03193768,9693,9.005157359,0.222522284433417,0.222522284443025,0.22199182997004
"17.56...67","170601070606",44350,NA,"Non-Ag Land","USDA 2011","Developed/Open Space",2381.99861948,137572.990238,137600,127.8,0,1.8632256265203,1.85879365541103
"17.57...68","170601070606",44352,NA,"Rangeland","USDA 2011","Evergreen Forest",1969.06496054,116316.532752,116300,108.1,2.67027084525443,2.67027084512829,2.6640965374333
"17.58...69","170601070606",44353,NA,"Rangeland","USDA 2011","Evergreen Forest",590.719821079,19386.0947116,19390,18.01,0.445045276771833,0.431936883199865,0.43095966252977
"16.10","170601070605",44354,NA,"Rangeland","USDA 2011","Evergreen Forest",1969.06724036,96930.6793448,96930,90.05,2.22523110809582,1.70656810909903,1.7024085212504
