Result,QUALITY,QUALITY_KEY,Date,Year,Month
13.3,1,,2003-06-04,2003,Jun
13.9,1,,2003-06-05,2003,Jun
14.7,1,,2003-06-06,2003,Jun
15.2,1,,2003-06-07,2003,Jun
15.7,1,,2003-06-08,2003,Jun
15.6,1,,2003-06-09,2003,Jun
15.2,1,,2003-06-10,2003,Jun
15.3,1,,2003-06-11,2003,Jun
15.6,1,,2003-06-12,2003,Jun
15.6,1,,2003-06-13,2003,Jun
15.1,1,,2003-06-14,2003,Jun
15.5,1,,2003-06-15,2003,Jun
16.0,1,,2003-06-16,2003,Jun
16.7,1,,2003-06-17,2003,Jun
16.8,1,,2003-06-18,2003,Jun
16.0,1,,2003-06-19,2003,Jun
13.5,1,,2003-06-20,2003,Jun
13.5,1,,2003-06-21,2003,Jun
13.7,1,,2003-06-22,2003,Jun
14.0,1,,2003-06-23,2003,Jun
14.6,2,,2003-06-24,2003,Jun
15.9,2,,2003-06-25,2003,Jun
16.6,2,,2003-06-26,2003,Jun
17.4,2,,2003-06-27,2003,Jun
17.9,2,,2003-06-28,2003,Jun
18.0,2,,2003-06-29,2003,Jun
17.5,2,,2003-06-30,2003,Jun
16.5,2,,2003-07-01,2003,Jul
16.1,2,,2003-07-02,2003,Jul
16.6,2,,2003-07-03,2003,Jul
16.7,2,,2003-07-04,2003,Jul
17.2,2,,2003-07-05,2003,Jul
17.7,2,,2003-07-06,2003,Jul
18.0,2,,2003-07-07,2003,Jul
17.7,2,,2003-07-08,2003,Jul
17.9,2,,2003-07-09,2003,Jul
18.5,2,,2003-07-10,2003,Jul
19.5,2,,2003-07-11,2003,Jul
19.4,2,,2003-07-12,2003,Jul
17.7,2,,2003-07-13,2003,Jul
18.0,2,,2003-07-14,2003,Jul
18.7,2,,2003-07-15,2003,Jul
19.3,2,,2003-07-16,2003,Jul
18.8,2,,2003-07-17,2003,Jul
19.2,2,,2003-07-18,2003,Jul
19.7,2,,2003-07-19,2003,Jul
19.6,2,,2003-07-20,2003,Jul
20.0,2,,2003-07-21,2003,Jul
20.0,2,,2003-07-22,2003,Jul
20.2,2,,2003-07-23,2003,Jul
19.5,2,,2003-07-24,2003,Jul
19.4,2,,2003-07-25,2003,Jul
19.3,2,,2003-07-26,2003,Jul
19.9,2,,2003-07-27,2003,Jul
19.9,2,,2003-07-28,2003,Jul
20.0,2,,2003-07-29,2003,Jul
19.8,2,,2003-07-30,2003,Jul
19.9,2,,2003-07-31,2003,Jul
19.4,2,,2003-08-01,2003,Aug
18.1,2,,2003-08-02,2003,Aug
17.1,2,,2003-08-03,2003,Aug
18.1,2,,2003-08-04,2003,Aug
18.1,2,,2003-08-05,2003,Aug
18.8,2,,2003-08-06,2003,Aug
18.7,2,,2003-08-07,2003,Aug
18.9,2,,2003-08-08,2003,Aug
19.2,2,,2003-08-09,2003,Aug
19.1,2,,2003-08-10,2003,Aug
18.6,2,,2003-08-11,2003,Aug
18.0,2,,2003-08-12,2003,Aug
17.8,2,,2003-08-13,2003,Aug
18.2,2,,2003-08-14,2003,Aug
17.8,2,,2003-08-15,2003,Aug
17.7,2,,2003-08-16,2003,Aug
18.1,2,,2003-08-17,2003,Aug
18.5,2,,2003-08-18,2003,Aug
18.2,2,,2003-08-19,2003,Aug
17.8,2,,2003-08-20,2003,Aug
17.6,2,,2003-08-21,2003,Aug
17.1,2,,2003-08-22,2003,Aug
17.3,2,,2003-08-23,2003,Aug
17.3,2,,2003-08-24,2003,Aug
17.6,2,,2003-08-25,2003,Aug
17.9,2,,2003-08-26,2003,Aug
17.4,2,,2003-08-27,2003,Aug
16.8,2,,2003-08-28,2003,Aug
16.7,2,,2003-08-29,2003,Aug
17.0,2,,2003-08-30,2003,Aug
17.0,2,,2003-08-31,2003,Aug
16.9,2,,2003-09-01,2003,Sep
17.1,2,,2003-09-02,2003,Sep
17.4,2,,2003-09-03,2003,Sep
17.7,2,,2003-09-04,2003,Sep
17.5,2,,2003-09-05,2003,Sep
17.9,2,,2003-09-06,2003,Sep
16.7,2,,2003-09-07,2003,Sep
14.0,2,,2003-09-08,2003,Sep
13.5,2,,2003-09-09,2003,Sep
14.8,2,,2003-09-10,2003,Sep
15.6,2,,2003-09-11,2003,Sep
14.7,2,,2003-09-12,2003,Sep
14.0,2,,2003-09-13,2003,Sep
13.9,2,,2003-09-14,2003,Sep
14.7,2,,2003-09-15,2003,Sep
12.8,2,,2003-09-16,2003,Sep
12.7,2,,2003-09-17,2003,Sep
13.0,2,,2003-09-18,2003,Sep
14.2,2,,2003-09-19,2003,Sep
13.8,2,,2003-09-20,2003,Sep
13.3,2,,2003-09-21,2003,Sep
13.4,2,,2003-09-22,2003,Sep
13.9,2,,2003-09-23,2003,Sep
14.1,2,,2003-09-24,2003,Sep
14.7,2,,2003-09-25,2003,Sep
15.0,2,,2003-09-26,2003,Sep
14.4,2,,2003-09-27,2003,Sep
14.2,2,,2003-09-28,2003,Sep
14.2,2,,2003-09-29,2003,Sep
13.9,2,,2003-09-30,2003,Sep
13.9,2,,2003-10-01,2003,Oct
13.9,140,Data not yet checked,2003-10-01,2003,Oct
13.8,140,Data not yet checked,2003-10-02,2003,Oct
13.5,140,Data not yet checked,2003-10-03,2003,Oct
13.8,140,Data not yet checked,2003-10-04,2003,Oct
14.2,140,Data not yet checked,2003-10-05,2003,Oct
14.3,140,Data not yet checked,2003-10-06,2003,Oct
13.9,140,Data not yet checked,2003-10-07,2003,Oct
13.2,140,Data not yet checked,2003-10-08,2003,Oct
12.1,140,Data not yet checked,2003-10-09,2003,Oct
10.9,140,Data not yet checked,2003-10-10,2003,Oct
10.7,140,Data not yet checked,2003-10-11,2003,Oct
10.9,140,Data not yet checked,2003-10-12,2003,Oct
11.0,140,Data not yet checked,2003-10-13,2003,Oct
10.6,140,Data not yet checked,2003-10-14,2003,Oct
9.4,140,Data not yet checked,2003-10-15,2003,Oct
10.2,140,Data not yet checked,2003-10-16,2003,Oct
11.7,140,Data not yet checked,2003-10-17,2003,Oct
11.7,140,Data not yet checked,2003-10-18,2003,Oct
12.2,140,Data not yet checked,2003-10-19,2003,Oct
12.8,140,Data not yet checked,2003-10-20,2003,Oct
13.6,140,Data not yet checked,2003-10-21,2003,Oct
13.0,140,Data not yet checked,2003-10-22,2003,Oct
11.3,140,Data not yet checked,2003-10-23,2003,Oct
9.6,140,Data not yet checked,2003-10-24,2003,Oct
8.8,140,Data not yet checked,2003-10-25,2003,Oct
9.3,140,Data not yet checked,2003-10-26,2003,Oct
10.7,140,Data not yet checked,2003-10-27,2003,Oct
12.3,140,Data not yet checked,2003-10-28,2003,Oct
9.7,140,Data not yet checked,2003-10-29,2003,Oct
7.1,140,Data not yet checked,2003-10-30,2003,Oct
4.8,140,Data not yet checked,2003-10-31,2003,Oct
4.5,140,Data not yet checked,2003-11-01,2003,Nov
5.6,140,Data not yet checked,2003-11-02,2003,Nov
5.2,140,Data not yet checked,2003-11-03,2003,Nov
4.5,140,Data not yet checked,2003-11-04,2003,Nov
3.4,140,Data not yet checked,2003-11-05,2003,Nov
3.4,140,Data not yet checked,2003-11-06,2003,Nov
3.9,140,Data not yet checked,2003-11-07,2003,Nov
5.5,140,Data not yet checked,2003-11-08,2003,Nov
5.9,140,Data not yet checked,2003-11-09,2003,Nov
6.7,140,Data not yet checked,2003-11-10,2003,Nov
7.6,140,Data not yet checked,2003-11-11,2003,Nov
6.5,140,Data not yet checked,2003-11-12,2003,Nov
5.4,140,Data not yet checked,2003-11-13,2003,Nov
5.3,140,Data not yet checked,2003-11-14,2003,Nov
6.4,140,Data not yet checked,2003-11-15,2003,Nov
7.0,140,Data not yet checked,2003-11-16,2003,Nov
6.8,140,Data not yet checked,2003-11-17,2003,Nov
8.5,140,Data not yet checked,2003-11-18,2003,Nov
7.7,140,Data not yet checked,2003-11-19,2003,Nov
5.6,140,Data not yet checked,2003-11-20,2003,Nov
4.8,140,Data not yet checked,2003-11-21,2003,Nov
3.7,140,Data not yet checked,2003-11-22,2003,Nov
4.7,140,Data not yet checked,2003-11-23,2003,Nov
4.7,140,Data not yet checked,2003-11-24,2003,Nov
4.6,140,Data not yet checked,2003-11-25,2003,Nov
4.9,140,Data not yet checked,2003-11-26,2003,Nov
4.9,140,Data not yet checked,2003-11-27,2003,Nov
6.1,140,Data not yet checked,2003-11-28,2003,Nov
7.8,140,Data not yet checked,2003-11-29,2003,Nov
6.9,140,Data not yet checked,2003-11-30,2003,Nov
6.5,140,Data not yet checked,2003-12-01,2003,Dec
6.5,140,Data not yet checked,2003-12-02,2003,Dec
6.3,140,Data not yet checked,2003-12-03,2003,Dec
4.7,140,Data not yet checked,2003-12-04,2003,Dec
6.9,140,Data not yet checked,2003-12-05,2003,Dec
6.8,140,Data not yet checked,2003-12-06,2003,Dec
5.0,140,Data not yet checked,2003-12-07,2003,Dec
5.6,140,Data not yet checked,2003-12-08,2003,Dec
4.7,140,Data not yet checked,2003-12-09,2003,Dec
5.1,140,Data not yet checked,2003-12-10,2003,Dec
4.6,140,Data not yet checked,2003-12-11,2003,Dec
5.2,140,Data not yet checked,2003-12-12,2003,Dec
5.9,140,Data not yet checked,2003-12-13,2003,Dec
5.2,140,Data not yet checked,2003-12-14,2003,Dec
4.6,140,Data not yet checked,2003-12-15,2003,Dec
5.2,140,Data not yet checked,2003-12-16,2003,Dec
5.3,140,Data not yet checked,2003-12-17,2003,Dec
4.3,140,Data not yet checked,2003-12-18,2003,Dec
3.9,140,Data not yet checked,2003-12-19,2003,Dec
4.6,140,Data not yet checked,2003-12-20,2003,Dec
5.4,140,Data not yet checked,2003-12-21,2003,Dec
4.9,140,Data not yet checked,2003-12-22,2003,Dec
4.4,140,Data not yet checked,2003-12-23,2003,Dec
6.1,140,Data not yet checked,2003-12-24,2003,Dec
5.1,140,Data not yet checked,2003-12-25,2003,Dec
4.2,140,Data not yet checked,2003-12-26,2003,Dec
