To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

35B150--Tucannon R. nr Marengo

DATE         TIME    WATER TEMP. (°C)   QUALITY
----------   -----   ----------------   -------
10/01/2005   00:00               12.6         1
10/02/2005   00:00               11.3         1
10/03/2005   00:00               10.9         1
10/04/2005   00:00               10.5         1
10/05/2005   00:00               10.7         1
10/06/2005   00:00               12.1         1
10/07/2005   00:00               12.1         1
10/08/2005   00:00               10.9         1
10/09/2005   00:00               11.3         1
10/10/2005   00:00               10.9         1
10/11/2005   00:00               11.9         1
10/12/2005   00:00               11.3         1
10/13/2005   00:00                 ""       255
10/14/2005   00:00               12.0         1
10/15/2005   00:00               12.3         1
10/16/2005   00:00               11.7         1
10/17/2005   00:00               13.0         1
10/18/2005   00:00               12.5         1
10/19/2005   00:00               12.1         1
10/20/2005   00:00               12.0         1
10/21/2005   00:00               11.2         1
10/22/2005   00:00               10.9         1
10/23/2005   00:00               10.5         1
10/24/2005   00:00               10.7         1
10/25/2005   00:00               10.6         1
10/26/2005   00:00               10.2         1
10/27/2005   00:00                8.9         1
10/28/2005   00:00                8.8         1
10/29/2005   00:00                8.0         1
10/30/2005   00:00                8.4         1
10/31/2005   00:00                9.2         1
11/01/2005   00:00                9.9         1
11/02/2005   00:00                8.5         1
11/03/2005   00:00                7.9         1
11/04/2005   00:00                7.7         1
11/05/2005   00:00                7.3         1
11/06/2005   00:00                7.7         1
11/07/2005   00:00                7.2         1
11/08/2005   00:00                6.5         1
11/09/2005   00:00                5.9         1
11/10/2005   00:00                6.5         1
11/11/2005   00:00                7.7         1
11/12/2005   00:00                6.7         1
11/13/2005   00:00                7.3         1
11/14/2005   00:00                6.5         1
11/15/2005   00:00                5.0         1
11/16/2005   00:00                6.8         1
11/17/2005   00:00                5.8         1
11/18/2005   00:00                5.4         1
11/19/2005   00:00                5.8         1
11/20/2005   00:00                5.6         1
11/21/2005   00:00                5.6         1
11/22/2005   00:00                5.5         1
11/23/2005   00:00                5.3         1
11/24/2005   00:00                4.9         1
11/25/2005   00:00                5.6         1
11/26/2005   00:00                5.0         1
11/27/2005   00:00                4.0         1
11/28/2005   00:00                3.8         1
11/29/2005   00:00                4.4         1
11/30/2005   00:00                3.8         1
12/01/2005   00:00                3.7         1
12/02/2005   00:00                4.0         1
12/03/2005   00:00                3.4         1
12/04/2005   00:00                2.4         1
12/05/2005   00:00                3.1         1
12/06/2005   00:00                3.3         1
12/07/2005   00:00                0.6         1
12/08/2005   00:00                0.1         1
12/09/2005   00:00                0.8         1
12/10/2005   00:00                0.9         1
12/11/2005   00:00                0.5         1
12/12/2005   00:00                0.6         1
12/13/2005   00:00                1.4         1
12/14/2005   00:00                0.8         1
12/15/2005   00:00                1.0         1
12/16/2005   00:00                0.7         1
12/17/2005   00:00                0.4         1
12/18/2005   00:00                0.0         1
12/19/2005   00:00                1.1         1
12/20/2005   00:00                2.6         1
12/21/2005   00:00                3.9         1
12/22/2005   00:00                5.4         1
12/23/2005   00:00                5.4         1
12/24/2005   00:00                6.1         1
12/25/2005   00:00                6.7         1
12/26/2005   00:00                6.3         1
12/27/2005   00:00                5.7         1
12/28/2005   00:00                6.3         1
12/29/2005   00:00                5.4       140
12/30/2005   00:00                5.9       140
12/31/2005   00:00                6.2       140
01/01/2006   00:00                5.6       140
01/02/2006   00:00                6.0       140
01/03/2006   00:00                5.5       140
01/04/2006   00:00                5.6       140
01/05/2006   00:00                6.1       140
01/06/2006   00:00                6.6       140
01/07/2006   00:00                6.6       140
01/08/2006   00:00                5.4       140
01/09/2006   00:00                5.4       140
01/10/2006   00:00                6.7       140
01/11/2006   00:00                6.1       140
01/12/2006   00:00                5.6       140
01/13/2006   00:00                6.8       140
01/14/2006   00:00                6.6       140
01/15/2006   00:00                5.2       140
01/16/2006   00:00                5.0       140
01/17/2006   00:00                6.3       140
01/18/2006   00:00                6.0       140
01/19/2006   00:00                6.0       140
01/20/2006   00:00                6.0       140
01/21/2006   00:00                5.7       140
01/22/2006   00:00                5.2       140
01/23/2006   00:00                5.7       140
01/24/2006   00:00                5.6       140
01/25/2006   00:00                5.1       140
01/26/2006   00:00                5.3       140
01/27/2006   00:00                5.2       140
01/28/2006   00:00                5.5       140
01/29/2006   00:00                5.4       140
01/30/2006   00:00                6.5       140
01/31/2006   00:00                5.6       140
02/01/2006   00:00                6.1         1
02/02/2006   00:00                6.2         1
02/03/2006   00:00                6.6         1
02/04/2006   00:00                6.6         1
02/05/2006   00:00                5.1         1
02/06/2006   00:00                4.9         1
02/07/2006   00:00                4.9         1
02/08/2006   00:00                5.1         1
02/09/2006   00:00                4.7         1
02/10/2006   00:00                3.7         1
02/11/2006   00:00                3.7         1
02/12/2006   00:00                3.9         1
02/13/2006   00:00                4.3         1
02/14/2006   00:00                3.9         1
02/15/2006   00:00                2.8         1
02/16/2006   00:00                2.5         1
02/17/2006   00:00                 ""       250
02/18/2006   00:00                 ""       250
02/19/2006   00:00                 ""       250
02/20/2006   00:00                1.8         1
02/21/2006   00:00                3.7         1
02/22/2006   00:00                4.6         1
02/23/2006   00:00                5.4         1
02/24/2006   00:00                4.9         1
02/25/2006   00:00                4.0         1
02/26/2006   00:00                5.1         1
02/27/2006   00:00                7.4         1
02/28/2006   00:00                6.7         1
03/01/2006   00:00                5.9         1
03/02/2006   00:00                5.6         1
03/03/2006   00:00                5.5         1
03/04/2006   00:00                6.1         1
03/05/2006   00:00                5.7         1
03/06/2006   00:00                6.9         1
03/07/2006   00:00                6.3         1
03/08/2006   00:00                5.5         1
03/09/2006   00:00                4.6         1
03/10/2006   00:00                4.3         1
03/11/2006   00:00                4.7         1
03/12/2006   00:00                4.8         1
03/13/2006   00:00                4.9         1
03/14/2006   00:00                5.5         1
03/15/2006   00:00                5.7         1
03/16/2006   00:00                6.2         1
03/17/2006   00:00                6.8         1
03/18/2006   00:00                6.1         1
03/19/2006   00:00                6.3         1
03/20/2006   00:00                6.6         1
03/21/2006   00:00                6.6         1
03/22/2006   00:00                7.3         1
03/23/2006   00:00                8.0         1
03/24/2006   00:00                8.8         1
03/25/2006   00:00                7.1         1
03/26/2006   00:00                6.8         1
03/27/2006   00:00                7.2         1
03/28/2006   00:00                8.1         1
03/29/2006   00:00                8.3         1
03/30/2006   00:00                7.8       140
03/31/2006   00:00                8.2       140
04/01/2006   00:00                6.6       140
04/02/2006   00:00                7.3       140
04/03/2006   00:00                8.1       140
04/04/2006   00:00                7.9       140
04/05/2006   00:00                7.3       140
04/06/2006   00:00                8.0       140
04/07/2006   00:00                7.5       140
04/08/2006   00:00                8.1       140
04/09/2006   00:00                7.9       140
04/10/2006   00:00                8.1       140
04/11/2006   00:00                7.6       140
04/12/2006   00:00                8.1       140
04/13/2006   00:00                8.8       140
04/14/2006   00:00                8.6       140
04/15/2006   00:00                6.9       140
04/16/2006   00:00                7.0       140
04/17/2006   00:00                7.2       140
04/18/2006   00:00                7.7       140
04/19/2006   00:00                8.5       140
04/20/2006   00:00                9.7       140
04/21/2006   00:00                9.2       140
