To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

35B150--Tucannon R. nr Marengo

DATE         TIME    STAGE (ft.)   QUALITY
----------   -----   -----------   -------
10/01/2010   00:00          3.92         1
10/02/2010   00:00          3.92         1
10/03/2010   00:00          3.93         1
10/04/2010   00:00          3.99         1
10/05/2010   00:00          3.97         1
10/06/2010   00:00          3.96         1
10/07/2010   00:00          4.00         1
10/08/2010   00:00          4.02         1
10/09/2010   00:00          3.98         1
10/10/2010   00:00          3.99         1
10/11/2010   00:00          3.99         1
10/12/2010   00:00          3.97         1
10/13/2010   00:00          3.97         1
10/14/2010   00:00          3.97         1
10/15/2010   00:00          3.96         1
10/16/2010   00:00          3.97         1
10/17/2010   00:00          3.96         1
10/18/2010   00:00          3.96         1
10/19/2010   00:00          3.96         1
10/20/2010   00:00          3.96         1
10/21/2010   00:00          3.96         1
10/22/2010   00:00          3.96         1
10/23/2010   00:00          3.99         1
10/24/2010   00:00          4.01         1
10/25/2010   00:00          4.03         1
10/26/2010   00:00          3.98         1
10/27/2010   00:00          3.96         1
10/28/2010   00:00          3.94         1
10/29/2010   00:00          3.95         1
10/30/2010   00:00          3.95         1
10/31/2010   00:00          3.97         1
11/01/2010   00:00          3.97         1
11/02/2010   00:00          3.96         1
11/03/2010   00:00          3.96         1
11/04/2010   00:00          3.95         1
11/05/2010   00:00          3.94         1
11/06/2010   00:00          3.94         1
11/07/2010   00:00          3.96         1
11/08/2010   00:00          3.98         1
11/09/2010   00:00          3.98         1
11/10/2010   00:00          3.98         1
11/11/2010   00:00          3.97         1
11/12/2010   00:00          3.98         1
11/13/2010   00:00          3.97         1
11/14/2010   00:00          3.98         1
11/15/2010   00:00          4.02         1
11/16/2010   00:00          4.08         1
11/17/2010   00:00          4.06         1
11/18/2010   00:00          4.11         1
11/19/2010   00:00          4.07         1
11/20/2010   00:00          4.06         1
11/21/2010   00:00          4.05         1
11/22/2010   00:00          4.06         1
11/23/2010   00:00            ""       250
11/24/2010   00:00            ""       250
11/25/2010   00:00            ""       250
11/26/2010   00:00          4.06        50
11/27/2010   00:00          4.05        50
11/28/2010   00:00          4.04        50
11/29/2010   00:00          4.02        50
11/30/2010   00:00          4.02        50
12/01/2010   00:00          4.05        50
12/02/2010   00:00          4.05        50
12/03/2010   00:00          4.05        50
12/04/2010   00:00          4.03        50
12/05/2010   00:00          4.03        50
12/06/2010   00:00          4.03        50
12/07/2010   00:00          4.03         1
12/08/2010   00:00          4.04         1
12/09/2010   00:00          4.08         1
12/10/2010   00:00          4.15         1
12/11/2010   00:00          4.13         1
12/12/2010   00:00          4.14         1
12/13/2010   00:00          4.26         1
