To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

35B150--Tucannon R. nr Marengo

DATE         Stage (ft.)   QUALITY
----------   -----------   -------
10/01/2013          4.30         2
10/02/2013          4.27         2
10/03/2013          4.22         2
10/04/2013          4.21         2
10/05/2013          4.20         2
10/06/2013          4.19         2
10/07/2013          4.19         2
10/08/2013          4.19         2
10/09/2013          4.22         2
10/10/2013          4.20         2
10/11/2013          4.20         2
10/12/2013          4.20         2
10/13/2013          4.20         2
10/14/2013          4.19         2
10/15/2013          4.20         2
10/16/2013          4.19         2
10/17/2013          4.18         2
10/18/2013          4.18         2
10/19/2013          4.18         2
10/20/2013          4.18         2
10/21/2013          4.18         2
10/22/2013          4.18         2
10/23/2013          4.18         2
10/24/2013          4.17         2
10/25/2013          4.18         2
10/26/2013          4.18         2
10/27/2013          4.18         2
10/28/2013          4.18         2
10/29/2013          4.19         2
10/30/2013          4.19         2
10/31/2013          4.19         2
11/01/2013          4.20         2
11/02/2013          4.21         2
11/03/2013          4.23         2
11/04/2013          4.23         2
11/05/2013          4.25         2
11/06/2013          4.23         2
11/07/2013          4.25         2
11/08/2013          4.31         2
11/09/2013          4.24         2
11/10/2013          4.22         2
11/11/2013          4.21         2
11/12/2013          4.20         2
11/13/2013          4.20         2
11/14/2013          4.20         2
11/15/2013          4.20         2
11/16/2013          4.24         2
11/17/2013          4.22         2
11/18/2013          4.21         2
11/19/2013          4.22         2
11/20/2013          4.30         2
11/21/2013          4.24         2
11/22/2013          4.22         2
11/23/2013          4.21         2
11/24/2013          4.20         2
11/25/2013          4.20         2
11/26/2013          4.19         2
11/27/2013          4.19         2
11/28/2013          4.19         2
11/29/2013          4.19         2
11/30/2013          4.19         2
12/01/2013          4.28         2
12/02/2013          4.75         2
12/03/2013          4.67         2
12/04/2013          4.55         2
12/05/2013                     250
12/06/2013                     250
12/07/2013                     250
12/08/2013                     250
12/09/2013                     250
12/10/2013                     250
12/11/2013          4.33        50
12/12/2013          4.31        50
12/13/2013          4.31        50
12/14/2013          4.30        50
12/15/2013          4.29        50
12/16/2013          4.28        50
12/17/2013          4.28        50
12/18/2013          4.28         2
12/19/2013          4.28         2
12/20/2013          4.28         2
12/21/2013          4.30         2
12/22/2013          4.29         2
12/23/2013          4.32         2
12/24/2013          4.38         2
12/25/2013          4.39         2
12/26/2013          4.39         2
12/27/2013          4.39         2
12/28/2013          4.37         2
12/29/2013          4.35         2
12/30/2013          4.34         2
12/31/2013          4.35         2
01/01/2014          4.33         2
01/02/2014          4.32         2
01/03/2014          4.36         2
01/04/2014          4.35         2
01/05/2014          4.33         2
01/06/2014          4.33         2
01/07/2014          4.33         2
01/08/2014          4.33         2
01/09/2014          4.39         2
01/10/2014          4.36         1
01/11/2014          4.41         1
01/12/2014          4.52         1
01/13/2014          4.54         1
01/14/2014          4.57         1
01/15/2014          4.57         1
01/16/2014          4.55         1
01/17/2014          4.51         1
01/18/2014          4.48         1
01/19/2014          4.45         1
01/20/2014          4.42         1
01/21/2014          4.40         1
01/22/2014          4.38         1
01/23/2014          4.36         1
01/24/2014          4.33         1
01/25/2014          4.32         1
01/26/2014          4.30         1
01/27/2014          4.29         1
01/28/2014          4.28         1
01/29/2014          4.36         1
01/30/2014          4.51         1
01/31/2014          4.50         1
02/01/2014          4.50         1
02/02/2014          4.49         1
02/03/2014          4.47         1
02/04/2014          4.44         1
02/05/2014          4.40         1
02/06/2014                     250
02/07/2014                     250
02/08/2014          4.36        50
02/09/2014          4.33        50
02/10/2014          4.31        50
02/11/2014          4.34        50
02/12/2014          4.40        50
02/13/2014          4.61         1
02/14/2014          4.78         1
02/15/2014          4.92         1
02/16/2014          5.00         1
02/17/2014          4.96         1
02/18/2014          4.90         1
02/19/2014          4.98         1
02/20/2014          4.93         1
02/21/2014          4.83         1
02/22/2014          4.74         1
02/23/2014          4.68         1
02/24/2014          4.67         1
02/25/2014          4.67         1
02/26/2014          4.67         1
02/27/2014          4.67         1
02/28/2014          4.69         1
03/01/2014          4.73         1
03/02/2014          4.74         1
03/03/2014          4.81         1
03/04/2014          5.00         1
03/05/2014          5.10         1
03/06/2014          5.60         1
03/07/2014          5.90         1
03/08/2014          5.54         1
03/09/2014          5.55         1
03/10/2014          6.19         1
03/11/2014          5.94         1
03/12/2014          5.59         1
03/13/2014          5.34         1
03/14/2014          5.17         1
03/15/2014          5.08         1
03/16/2014          4.99         1
03/17/2014          5.06         1
03/18/2014          4.99         1
03/19/2014          4.95         1
