To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

35B150--Tucannon R. nr Marengo

DATE         Water Temp. (°C)   QUALITY
----------   ----------------   -------
10/01/2022               13.6       140
10/02/2022               13.9       140
10/03/2022               14.0       140
10/04/2022                          255
10/05/2022               13.7       140
10/06/2022               13.6       140
10/07/2022               13.4       140
10/08/2022               13.4       140
10/09/2022               13.1       140
10/10/2022               13.0       140
10/11/2022               13.1       140
10/12/2022               12.3       140
10/13/2022               12.1       140
10/14/2022               11.7       140
10/15/2022               11.8       140
10/16/2022               11.7       140
10/17/2022               11.5       140
10/18/2022               10.9       140
10/19/2022               10.8       140
10/20/2022               10.7       140
10/21/2022               10.7       140
10/22/2022                9.7       140
10/23/2022                8.7       140
10/24/2022                8.5       140
10/25/2022                8.9       140
10/26/2022                8.8       140
10/27/2022                8.5       140
10/28/2022                9.3       140
10/29/2022                9.7       140
10/30/2022                9.9       140
10/31/2022               10.7       140
11/01/2022                9.0       140
11/02/2022                7.4       140
11/03/2022                7.2       140
11/04/2022                8.1       140
11/05/2022                7.7       140
11/06/2022                7.0       140
11/07/2022                7.3       140
11/08/2022                6.5       140
11/09/2022                5.7       140
11/10/2022                5.3       140
11/11/2022                4.9       140
11/12/2022                5.4       140
11/13/2022                4.6       140
11/14/2022                4.9       140
11/15/2022                4.0       140
11/16/2022                4.1       140
11/17/2022                4.3       140
11/18/2022                2.8       140
11/19/2022                2.3       140
11/20/2022                2.2       140
11/21/2022                3.3       140
11/22/2022                4.0       140
11/23/2022                5.5       140
11/24/2022                4.9       140
11/25/2022                4.8       140
11/26/2022                5.5       140
11/27/2022                5.1       140
11/28/2022                4.0       140
11/29/2022                3.2       140
11/30/2022                4.5       140
12/01/2022                4.5       140
12/02/2022                3.8       140
12/03/2022                3.0       140
12/04/2022                2.6       140
12/05/2022                3.0       140
12/06/2022                3.9       140
12/07/2022                3.9       140
12/08/2022                3.7       140
12/09/2022                4.4       140
12/10/2022                5.2       140
12/11/2022                5.1       140
12/12/2022                5.1       140
12/13/2022                4.5       140
12/14/2022                4.5       140
12/15/2022                4.2       140
12/16/2022                3.2       140
12/17/2022                2.5       140
12/18/2022                3.2       140
12/19/2022                2.8       140
12/20/2022                1.9       140
12/21/2022                1.4       140
12/22/2022                0.0       140
12/23/2022                0.0       140
12/24/2022                0.0       140
12/25/2022                2.3       140
12/26/2022                4.2       140
12/27/2022                5.2       140
12/28/2022                5.1       140
12/29/2022                5.2       140
12/30/2022                6.0       140
12/31/2022                5.8       140
01/01/2023                4.8       140
01/02/2023                4.4       140
01/03/2023                3.9       140
01/04/2023                3.9       140
01/05/2023                5.4       140
01/06/2023                5.4       140
01/07/2023                5.5       140
01/08/2023                6.2       140
01/09/2023                5.4       140
01/10/2023                4.9       140
01/11/2023                5.5       140
01/12/2023                6.4       140
01/13/2023                7.1       140
01/14/2023                7.0       140
01/15/2023                6.6       140
01/16/2023                5.8       140
01/17/2023                4.9       140
01/18/2023                5.0       140
01/19/2023                4.8       140
01/20/2023                3.7       140
01/21/2023                3.5       140
01/22/2023                4.3       140
01/23/2023                3.8       140
01/24/2023                3.6       140
01/25/2023                4.7       140
01/26/2023                5.0       140
01/27/2023                5.7       140
01/28/2023                4.5       140
01/29/2023                1.4       140
01/30/2023                0.7       140
01/31/2023                2.1       140
02/01/2023                3.2       140
02/02/2023                3.2       140
02/03/2023                4.2       140
02/04/2023                5.5       140
02/05/2023                5.7       140
02/06/2023                5.6       140
02/07/2023                5.4       140
02/08/2023                4.9       140
02/09/2023                4.3       140
02/10/2023                4.9       140
02/11/2023                4.6       140
02/12/2023                4.5       140
02/13/2023                5.2       140
02/14/2023                4.2       140
02/15/2023                4.1       140
02/16/2023                4.0       140
02/17/2023                4.7       140
02/18/2023                5.2       140
02/19/2023                5.5       140
02/20/2023                6.4       140
