To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

35B150--Tucannon R. nr Marengo

DATE         Stage (ft.)   QUALITY
----------   -----------   -------
10/01/2023          3.95         2
10/02/2023          3.94         2
10/03/2023          4.02         2
10/04/2023          3.99         2
10/05/2023          3.96         2
10/06/2023          3.96         2
10/07/2023          3.96         2
10/08/2023          3.96         2
10/09/2023          3.96         2
10/10/2023          3.97         2
10/11/2023          4.00         2
10/12/2023          3.99         2
10/13/2023          3.98         2
10/14/2023          3.97         2
10/15/2023          3.97         2
10/16/2023          3.97         2
10/17/2023          3.98         2
10/18/2023          3.98         2
10/19/2023          3.97         2
10/20/2023          3.98         2
10/21/2023          3.98         2
10/22/2023          3.98         2
10/23/2023          3.98         2
10/24/2023          3.98         2
10/25/2023          4.01         2
10/26/2023          4.00         2
10/27/2023          3.99         2
10/28/2023          3.99         2
10/29/2023          3.98         2
10/30/2023          3.98         2
10/31/2023          3.99         2
11/01/2023          3.99         2
11/02/2023          4.03         2
11/03/2023          4.05         2
11/04/2023          4.04         2
11/05/2023          4.17         2
11/06/2023          4.11         2
11/07/2023          4.15         2
11/08/2023          4.12         2
11/09/2023          4.08         2
11/10/2023          4.06         2
11/11/2023          4.05         2
11/12/2023          4.05         2
11/13/2023          4.04         2
11/14/2023          4.03         2
11/15/2023          4.03         2
11/16/2023          4.07         2
11/17/2023          4.04         2
11/18/2023          4.03         2
11/19/2023          4.05         2
11/20/2023          4.04         2
11/21/2023          4.02         2
11/22/2023          4.02         2
11/23/2023          4.02         2
11/24/2023          4.01         2
11/25/2023          3.99         2
11/26/2023          3.99         2
11/27/2023          3.99         2
11/28/2023          4.00         2
11/29/2023          3.99         2
11/30/2023          4.02         2
12/01/2023          4.02         2
12/02/2023          4.04         2
12/03/2023          4.04         2
12/04/2023          4.11         2
12/05/2023          4.12         2
12/06/2023          4.14         2
12/07/2023          4.16         2
12/08/2023          4.15         2
12/09/2023          4.13         2
12/10/2023          4.22         2
12/11/2023          4.29         2
12/12/2023          4.30         2
12/13/2023          4.28         2
12/14/2023          4.26         2
12/15/2023          4.22         2
12/16/2023          4.20         2
12/17/2023          4.17         2
12/18/2023          4.15         2
12/19/2023          4.15         2
12/20/2023          4.16         2
12/21/2023          4.15         2
12/22/2023          4.14         2
12/23/2023          4.14         2
12/24/2023          4.11         2
12/25/2023          4.11         2
12/26/2023          4.11         2
12/27/2023          4.09         2
12/28/2023          4.08         2
12/29/2023          4.07         2
12/30/2023          4.07         2
12/31/2023          4.07         2
01/01/2024          4.07         2
01/02/2024          4.06         2
01/03/2024          4.06         2
01/04/2024          4.06         2
01/05/2024          4.08         2
01/06/2024          4.07         2
01/07/2024          4.07         2
01/08/2024          4.06         2
01/09/2024          4.09         2
01/10/2024          4.10         2
01/11/2024          4.09         2
01/12/2024                     250
01/13/2024                     250
01/14/2024                     250
01/15/2024                     250
01/16/2024                     250
01/17/2024                     250
01/18/2024                     250
01/19/2024          4.08        50
01/20/2024          4.08        50
