"Study_ID","Study_Name","Location_ID","Study_Specific_Location_ID","Location_Name","Instrument_ID","Field_Collection_Type","Field_Collector","Time_Zone","Field_Collection_Start_Date_Time","Field_Collection_End_Date_Time","Field_Collection_Reference_Point","Field_Collection_Upper_Depth","Field_Collection_Lower_Depth","Field_Collection_Depth_Units","Sample_Matrix","Sample_Source","Result_Parameter_Name","Result_Value","Result_Value_Units","Result_Data_Qualifier","Result_Data_Qualifier_Description","Result_Comment","Derivation_Method","Derivation_Method_Description","Base_Parameter_Name","Base_Result_Method","Base_Result_Method_Description","Base_Measurement_Interval","Time_Basis","Statistical_Basis","Partial_Metric_Flag","Auto_Calculated_Flag","Sample_Size","Expected_Data_Percent","Data_Qualified_Flag","Study_ID_Alias","Result_Data_Review_Status","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Record_Created_On","Calculated_Result_System_ID"
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",6/1/2015 12:00:00 AM,6/1/2015 11:30:00 PM,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily average)","23.8811","deg C","","","","DailyAverage","Calculated mean daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Mean","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086154353
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",5/19/2015 12:00:00 AM,5/19/2015 11:30:00 PM,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily average)","22.4585","deg C","","","","DailyAverage","Calculated mean daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Mean","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086154350
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",5/10/2015 2:30:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","23.978","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086060883
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",3/18/2015 2:30:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","15.963","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086058472
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",5/28/2015 6:00:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","27.899","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086058470
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",1/8/2015 12:00:00 AM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","3.591","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086058439
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",3/22/2015 2:30:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","14.218","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086063750
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",5/24/2015 4:30:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","25.914","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086061671
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",12/14/2014 12:00:00 AM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","4.947","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086061665
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",12/29/2014 12:00:00 AM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","3.009","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086061657
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",2/24/2015 2:30:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","9.485","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086061631
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",6/29/2015 5:30:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","34.413","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086061615
