"","Param","Date","Year","Units","Month","Result"
"1","Dissolved Oxygen",2017-04-06,2017,"mg/L","Apr",8.41
"2","pH",2017-04-06,2017,"pH","Apr",6.41
"3","Temperature, water",2017-04-06,2017,"deg C","Apr",13.8
"4","Dissolved Oxygen",2017-04-06,2017,"mg/L","Apr",9.09
"5","pH",2017-04-06,2017,"pH","Apr",6.48
"6","Temperature, water",2017-04-06,2017,"deg C","Apr",12.5
"7","Dissolved Oxygen",2017-04-06,2017,"mg/L","Apr",7.91
"8","pH",2017-04-06,2017,"pH","Apr",6.3
"9","Temperature, water",2017-04-06,2017,"deg C","Apr",12
"10","Dissolved Oxygen",2017-04-06,2017,"mg/L","Apr",7.46
"11","pH",2017-04-06,2017,"pH","Apr",6.67
"12","Temperature, water",2017-04-06,2017,"deg C","Apr",14.1
"13","Dissolved Oxygen",2017-04-06,2017,"mg/L","Apr",6.62
"14","pH",2017-04-06,2017,"pH","Apr",6.83
"15","Temperature, water",2017-04-06,2017,"deg C","Apr",14.4
"16","Dissolved Oxygen",2017-04-07,2017,"mg/L","Apr",8.5
"17","pH",2017-04-07,2017,"pH","Apr",6.42
"18","Temperature, water",2017-04-07,2017,"deg C","Apr",12.6
"19","Dissolved Oxygen",2017-04-07,2017,"mg/L","Apr",8.35
"20","pH",2017-04-07,2017,"pH","Apr",6.37
"21","Temperature, water",2017-04-07,2017,"deg C","Apr",13.9
"22","Dissolved Oxygen",2017-04-11,2017,"mg/L","Apr",8.6
"23","pH",2017-04-11,2017,"pH","Apr",6.16
"24","Temperature, water",2017-04-11,2017,"deg C","Apr",11.7
"25","Dissolved Oxygen",2017-04-11,2017,"mg/L","Apr",7.85
"26","pH",2017-04-11,2017,"pH","Apr",6.32
"27","Temperature, water",2017-04-11,2017,"deg C","Apr",11.8
"28","Dissolved Oxygen",2017-04-11,2017,"mg/L","Apr",8.28
"29","pH",2017-04-11,2017,"pH","Apr",6.37
"30","Temperature, water",2017-04-11,2017,"deg C","Apr",11.8
"31","Dissolved Oxygen",2003-02-25,2003,"mg/L","Feb",8.5
"32","Dissolved Oxygen",2003-02-25,2003,"mg/L","Feb",7.4
"33","Temperature, water",2003-01-14,2003,"deg C","Jan",10.1
"34","pH",2003-01-14,2003,"pH","Jan",7.55
"35","Dissolved Oxygen",2003-01-14,2003,"mg/L","Jan",7.49
"36","pH",2003-03-11,2003,"pH","Mar",7.91
"37","Temperature, water",2003-03-11,2003,"deg C","Mar",10.65
"38","Dissolved Oxygen",2003-03-11,2003,"mg/L","Mar",9.5
"39","Dissolved Oxygen",2003-03-11,2003,"mg/L","Mar",7.95
"40","pH",2003-04-07,2003,"pH","Apr",7.88
"41","Dissolved Oxygen",2003-04-07,2003,"mg/L","Apr",6.6
"42","Dissolved Oxygen",2003-04-07,2003,"mg/L","Apr",7.41
"43","Temperature, water",2003-04-07,2003,"deg C","Apr",10.59
"44","pH",2003-05-06,2003,"pH","May",7.72
"45","Dissolved Oxygen",2003-05-06,2003,"mg/L","May",5.7
"46","Dissolved Oxygen",2003-05-06,2003,"mg/L","May",6
"47","Temperature, water",2003-05-06,2003,"deg C","May",12.93
"48","Dissolved Oxygen",2003-06-10,2003,"mg/L","Jun",4.12
"49","Dissolved Oxygen",2003-06-10,2003,"mg/L","Jun",3.84
"50","Temperature, water",2003-06-10,2003,"deg C","Jun",18.72
"51","pH",2003-06-10,2003,"pH","Jun",7.43
"52","Temperature, water",2009-07-21,2009,"deg C","Jul",20.2
"53","pH",2009-07-21,2009,"pH","Jul",6.57
"54","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",0.2
"55","Temperature, water",2009-07-21,2009,"deg C","Jul",20.91
"56","pH",2009-07-21,2009,"pH","Jul",6.5
"57","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",1.3
"58","Dissolved Oxygen",2002-07-30,2002,"mg/L","Jul",5.24
"59","pH",2002-07-30,2002,"pH","Jul",6.66
"60","Dissolved Oxygen",2002-07-30,2002,"mg/L","Jul",5.66
"61","Temperature, water",2002-07-30,2002,"deg C","Jul",19.46
"62","pH",2009-08-25,2009,"pH","Aug",6.91
"63","Temperature, water",2009-08-25,2009,"deg C","Aug",18.78
"64","Dissolved Oxygen",2009-08-25,2009,"mg/L","Aug",2.79
"65","pH",2009-08-25,2009,"pH","Aug",7.05
"66","Temperature, water",2009-08-25,2009,"deg C","Aug",19.2
"67","Dissolved Oxygen",2009-08-25,2009,"mg/L","Aug",3.15
"68","pH",2002-09-10,2002,"pH","Sep",7.37
"69","Dissolved Oxygen",2002-12-02,2002,"mg/L","Dec",5.4
"70","Dissolved Oxygen",2002-12-02,2002,"mg/L","Dec",5.8
"71","Temperature, water",2002-12-02,2002,"deg C","Dec",9.4
"72","pH",2002-12-02,2002,"pH","Dec",7.48
"73","Dissolved Oxygen",2002-12-03,2002,"mg/L","Dec",7.1
"74","Dissolved Oxygen",2002-12-03,2002,"mg/L","Dec",6.65
"75","pH",2002-12-03,2002,"pH","Dec",7.36
"76","Temperature, water",2002-12-03,2002,"deg C","Dec",9.09
"77","pH",1992-01-06,1992,"pH","Jan",7.7
"78","Temperature, water",1992-01-06,1992,"deg C","Jan",4.1
"79","pH",1991-01-07,1991,"pH","Jan",7.1
"80","Temperature, water",1991-01-07,1991,"deg C","Jan",0.8
"81","Temperature, water",1997-01-13,1997,"deg C","Jan",-0.4
