"Study_ID","Study_Name","Location_ID","Study_Specific_Location_ID","Location_Name","Location_Setting","Field_Collection_Type","Field_Collector","Field_Collection_Start_Date","Field_Collection_Start_Time","Field_Collection_Start_Date_Time","Field_Collection_End_Date","Field_Collection_End_Time","Field_Collection_End_Date_Time","Field_Collection_Comment","Field_Collection_Area","Field_Collection_Area_Units","Field_Collection_Reference_Point","Field_Collection_Upper_Depth","Field_Collection_Lower_Depth","Field_Collection_Depth_Units","Upper_Depth_In_Feet","Lower_Depth_In_Feet","Well_Water_Level_Measuring_Point_Or_TOC_ID","Sample_ID","Sample_Field_Replicate_ID","Sample_Replicate_Flag","Sample_Sub_ID","Sample_Composite_Flag","Storm_Event_Qualifier","Sample_Matrix","Sample_Source","Sample_Use","Sample_Collection_Method","Sample_Collection_Method_Description","Sample_Preparation_Method","Sample_Preparation_Method_Description","Sample_Method_Other","Sample_Method_Other_Type","Sample_Method_Other_Description","Sample_Taxon_Name","Sample_Taxon_Common_Name","Sample_Taxon_TSN","Sample_Tissue_Type","Sample_Percent_Sorted","Result_Parameter_Name","Result_Parameter_CAS_Number","Lab_Analysis_Date","Lab_Analysis_Date_Accuracy","Lab_Analysis_Time","Result_Value","Result_Value_Units","Result_Reporting_Limit","Result_Reporting_Limit_Type","Result_Detection_Limit","Result_Detection_Limit_Type","Result_Data_Qualifier","Result_Data_Qualifier_Description","Result_Suspect_or_Rejected_Flag","Result_Suspect_Code","Result_Suspect_Description","Fraction_Analyzed","Field_Filtered_Flag","Result_Basis","Digestion_Method","Water_Level_Accuracy","Result_Method","Result_Method_Description","Result_Comment","Result_Additional_Comment","Result_Lab_Replicate_ID","Result_Lab_Name","Result_Validation_Level","Result_Taxon_Name","Result_Taxon_Common_Name","Result_Taxon_Alias_Other","Result_Taxon_TSN","Result_Taxon_Parent_TSN","Result_Taxon_Unidentified_Species","Result_Taxon_Life_Stage","QC_Blank_Censor_Factor","Lab_Batch_ID","Lab_GC_Column_ID","Study_ID_Alias","Study_QA_Planning_Level","Study_QA_Assessment_Level","Study_Type","EIM_Data_Entry_Review_Status","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Record_Created_On","Result_System_ID"
"FS95362668","Texaco-Bulk Plant","FS95362668-5","MW-1","FS95362668_MW-1","Land","Measurement","Consultant, Professional","04/06/2017",,"04/06/2017","04/06/2017",,"04/06/2017","",,"","",,,"",,,"","MW-1-FIELDPARAMETERS","","N","","N","","Water","Groundwater","","","","","","","","","","","","",,"Dissolved Oxygen","","","",,"8.41","mg/L","","","","","","","","","","","","","","","DO-OPTICAL","Dissolved Oxygen (DO) by Optical (Luminescent) Sensor (LDO)","","","","","","","","","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 3:  Data Verified and Assessed for Usability","Contaminated site investigation (characterization, includes RI/FS and remedial design)","Not Reviewed",46.3154084892064,-117.990920490799,8/2/2017 4:32:18 PM,206466471
"FS95362668","Texaco-Bulk Plant","FS95362668-5","MW-1","FS95362668_MW-1","Land","Measurement","Consultant, Professional","04/06/2017",,"04/06/2017","04/06/2017",,"04/06/2017","",,"","",,,"",,,"","MW-1-FIELDPARAMETERS","","N","","N","","Water","Groundwater","","","","","","","","","","","","",,"pH","","","",,"6.41","pH","","","","","","","","","","","","","","","SM4500H+B","pH by Electrometric Method","","","","","","","","","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 3:  Data Verified and Assessed for Usability","Contaminated site investigation (characterization, includes RI/FS and remedial design)","Not Reviewed",46.3154084892064,-117.990920490799,8/2/2017 4:32:19 PM,206466473
"FS95362668","Texaco-Bulk Plant","FS95362668-5","MW-1","FS95362668_MW-1","Land","Measurement","Consultant, Professional","04/06/2017",,"04/06/2017","04/06/2017",,"04/06/2017","",,"","",,,"",,,"","MW-1-FIELDPARAMETERS","","N","","N","","Water","Groundwater","","","","","","","","","","","","",,"Temperature, water","","","",,"13.8","deg C","","","","","","","","","","","","","","","SM2550B-F","Temperature, Field Method","","","","","","","","","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 3:  Data Verified and Assessed for Usability","Contaminated site investigation (characterization, includes RI/FS and remedial design)","Not Reviewed",46.3154084892064,-117.990920490799,8/2/2017 4:32:19 PM,206466474
"FS95362668","Texaco-Bulk Plant","FS95362668-1","B-1","FS95362668_B-1","Land","Measurement","Consultant, Professional","04/06/2017",,"04/06/2017","04/06/2017",,"04/06/2017","",,"","Land Surface",7,11.5,"ft",7,11.5,"","B-1-FIELDPARAMETERS","","N","","N","","Water","Groundwater","","","","","","","","","","","","",,"Dissolved Oxygen","","","",,"9.09","mg/L","","","","","","","","","","","","","","","DO-OPTICAL","Dissolved Oxygen (DO) by Optical (Luminescent) Sensor (LDO)","","","","","","","","","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 3:  Data Verified and Assessed for Usability","Contaminated site investigation (characterization, includes RI/FS and remedial design)","Not Reviewed",46.3153599998835,-117.990959999994,8/2/2017 4:32:18 PM,206466447
"FS95362668","Texaco-Bulk Plant","FS95362668-1","B-1","FS95362668_B-1","Land","Measurement","Consultant, Professional","04/06/2017",,"04/06/2017","04/06/2017",,"04/06/2017","",,"","Land Surface",7,11.5,"ft",7,11.5,"","B-1-FIELDPARAMETERS","","N","","N","","Water","Groundwater","","","","","","","","","","","","",,"pH","","","",,"6.48","pH","","","","","","","","","","","","","","","SM4500H+B","pH by Electrometric Method","","","","","","","","","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 3:  Data Verified and Assessed for Usability","Contaminated site investigation (characterization, includes RI/FS and remedial design)","Not Reviewed",46.3153599998835,-117.990959999994,8/2/2017 4:32:18 PM,206466449
"FS95362668","Texaco-Bulk Plant","FS95362668-1","B-1","FS95362668_B-1","Land","Measurement","Consultant, Professional","04/06/2017",,"04/06/2017","04/06/2017",,"04/06/2017","",,"","Land Surface",7,11.5,"ft",7,11.5,"","B-1-FIELDPARAMETERS","","N","","N","","Water","Groundwater","","","","","","","","","","","","",,"Temperature, water","","","",,"12.5","deg C","","","","","","","","","","","","","","","SM2550B-F","Temperature, Field Method","","","","","","","","","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 3:  Data Verified and Assessed for Usability","Contaminated site investigation (characterization, includes RI/FS and remedial design)","Not Reviewed",46.3153599998835,-117.990959999994,8/2/2017 4:32:18 PM,206466450
"FS95362668","Texaco-Bulk Plant","FS95362668-3","B-3","FS95362668_B-3","Land","Measurement","Consultant, Professional","04/06/2017",,"04/06/2017","04/06/2017",,"04/06/2017","",,"","Land Surface",7.5,11,"ft",7.5,11,"","B-3-FIELDPARAMETERS","","N","","N","","Water","Groundwater","","","","","","","","","","","","",,"Dissolved Oxygen","","","",,"7.91","mg/L","","","","","","","","","","","","","","","DO-OPTICAL","Dissolved Oxygen (DO) by Optical (Luminescent) Sensor (LDO)","","","","","","","","","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 3:  Data Verified and Assessed for Usability","Contaminated site investigation (characterization, includes RI/FS and remedial design)","Not Reviewed",46.3154399998541,-117.991319999889,8/2/2017 4:32:18 PM,206466459
"FS95362668","Texaco-Bulk Plant","FS95362668-3","B-3","FS95362668_B-3","Land","Measurement","Consultant, Professional","04/06/2017",,"04/06/2017","04/06/2017",,"04/06/2017","",,"","Land Surface",7.5,11,"ft",7.5,11,"","B-3-FIELDPARAMETERS","","N","","N","","Water","Groundwater","","","","","","","","","","","","",,"pH","","","",,"6.3","pH","","","","","","","","","","","","","","","SM4500H+B","pH by Electrometric Method","","","","","","","","","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 3:  Data Verified and Assessed for Usability","Contaminated site investigation (characterization, includes RI/FS and remedial design)","Not Reviewed",46.3154399998541,-117.991319999889,8/2/2017 4:32:18 PM,206466461
"FS95362668","Texaco-Bulk Plant","FS95362668-3","B-3","FS95362668_B-3","Land","Measurement","Consultant, Professional","04/06/2017",,"04/06/2017","04/06/2017",,"04/06/2017","",,"","Land Surface",7.5,11,"ft",7.5,11,"","B-3-FIELDPARAMETERS","","N","","N","","Water","Groundwater","","","","","","","","","","","","",,"Temperature, water","","","",,"12","deg C","","","","","","","","","","","","","","","SM2550B-F","Temperature, Field Method","","","","","","","","","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 3:  Data Verified and Assessed for Usability","Contaminated site investigation (characterization, includes RI/FS and remedial design)","Not Reviewed",46.3154399998541,-117.991319999889,8/2/2017 4:32:18 PM,206466462
"FS95362668","Texaco-Bulk Plant","FS95362668-2","B-2","FS95362668_B-2","Land","Measurement","Consultant, Professional","04/06/2017",,"04/06/2017","04/06/2017",,"04/06/2017","",,"","Land Surface",8,11.5,"ft",8,11.5,"","B-2-FIELDPARAMETERS","","N","","N","","Water","Groundwater","","","","","","","","","","","","",,"Dissolved Oxygen","","","",,"7.46","mg/L","","","","","","","","","","","","","","","DO-OPTICAL","Dissolved Oxygen (DO) by Optical (Luminescent) Sensor (LDO)","","","","","","","","","","","","","","","","","LEVEL 3: QAPP, SAP, or Equivalent.","Level 3:  Data Verified and Assessed for Usability","Contaminated site investigation (characterization, includes RI/FS and remedial design)","Not Reviewed",46.3156262810612,-117.991008122071,8/2/2017 4:32:18 PM,206466453
