"Location_ID","Location_Name","Location_Setting","Location_Setting_Description","Location_Description","Ecology_Facility_Site_ID","Is_Location_a_Well","Address","City","State","Zip_Code","County","Watershed_WRIA","Ecology_Region","US_Congressional_District","State_Legislative_District","NHD_Reach_Code","NHD_Reach_Measure","NHD_Edit_Date","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Horizontal_Coordinates_Represent","Horizontal_Coordinate_Accuracy","Horizontal_Coordinate_Collection_Method","Paper_Map_Scale","Township_Number","Township_Direction","Range_Number","Range_Direction","Section_Number","Quarter_Section_Township_Range","Quarter_Quarter_Section_Township_Range","Elevation_of","Elevation","Elevation_Units","Elevation_Datum","Elevation_Accuracy","Elevation_Collecton_Method","Sediment_Elevation_Elevation_Reference","Location_Suspect_or_Rejected_Flag","Location_Suspect_Code","Location_Suspect_Description","Location_ID_Alias","Associated_Study_ID","Record_Created_On","Location_System_ID"
"32B120","TOUCHET RIVER NEAR DAYTON","Stream/River","Channeled, flowing water","LOCATED APPROXIMATELY 1.5 MILES EAST OF LEWIS AND CLARK TRAIL STATE PARK AND 3.1 MILES WEST OF DAYTON, .2 MILES UP ROSE GULCH ROAD (ROAD 15)",,"N","","","WA","","COLUMBIA","Walla Walla","Eastern Regional Office",5,16,"",,,46.29055,-118.04444,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",9,"N",38,"E",3,"NW","SE","",1460,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001B",,7222011
"32B130","TOUCHET RIVER AT DAYTON","Stream/River","Channeled, flowing water","LOCATED AT THE BRIDGE ON US HIGHWAY 410 AT THE WEST END OF DAYTON",,"N","","","WA","","COLUMBIA","Walla Walla","Eastern Regional Office",5,16,"17070102000309",17.1119991123367,2/22/2012 12:00:00 AM,46.31861,-117.9825,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",10,"N",39,"E",30,"NW","SE","",1600,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001B, AMS001D, AMS001E, SCTA0001",,8222011
"32B140","TOUCHET RIVER ABOVE DAYTON","Stream/River","Channeled, flowing water","Footbridge at City Park upstream of US 12.",,"N","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"",,,46.3146000009422,-117.97737,"stream center","+/- 40 ft (12 m)","Computer map - GIS-based","1:25,000",10,"N",39,"E",30,"SE","NW","",1610,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001D, AMS001E, FMUFLOW&WQ",,9222011
"32DAY-WWTP","DAYTON WASTEWATER TREATMENT PLANT","Source-HumanMade","Human-constructed source such as discharge/pipe, sewer/septic, stormwater conveyance, industrial, agricultural, lagoon or other source.","DAYTON WASTEWATER TREATMENT PLANT",,"N","","","WA","","COLUMBIA","Walla Walla","Eastern Regional Office",5,16,"",,,46.3159800009505,-118.00355,"Unknown","+/- 40 ft (12 m)","GPS consumer unit or unknown (code phase)","",10,"N",38,"E",25,"SW","NE","",,"","","","","","","","","","JJOY0003, JROSL002, SCTA0001, WWGWStudy_ECYUSGS_01",,6104131
"32E050","North Fork Touchet River above Dayton","Stream/River","Channeled, flowing water","North Fork Touchet River above Dayton",,"N","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"",,,46.2976200009422,-117.95306,"Discrete monitoring point","+/- 40 ft (12 m)","Computer map - GIS-based","",10,"N",39,"E",32,"SE","SE","",,"","","","","","","","","","FMUFLOW&WQ, WWGWStudy_ECYUSGS_01",1/12/2022 11:20:58 AM,100121294
"32NFT-00.0","N Fork Touchet R at S Fork confluence","Stream/River","Channeled, flowing water","North Fork Touchet River 75ft. above confluence with South Fork.",,"N","","","WA","","COLUMBIA","Walla Walla","Eastern Regional Office",5,16,"17070102000322",5.25570159923179,3/6/2014 2:44:32 PM,46.3014167301681,-117.9598518119,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","",10,"N",39,"E",32,"#","#","",,"","","","","","","","","","ASTO0003, JJOY0003, SCTA0001",,1411001
"32NFT-04.9","NF Touchet @ NF Touchet Rd","Stream/River","Channeled, flowing water","N F Touchet @ Wolf Fork Rd (Below Bridge 2ft)",,"N","","","WA","","COLUMBIA","Walla Walla","Eastern Regional Office",5,16,"17070102000340",66.4960109487217,2/22/2012 12:00:00 AM,46.270988,-117.889918,"Discrete monitoring point","+/- 40 ft (12 m)","Computer map - GIS-based","",9,"N",39,"E",11,"SE","NE","",,"","","","","","","","","","ASTO0003, SCTA0001",,4273861
"32NFT-08.9","North Fork Touchet River abv. Jim Creek","Stream/River","Channeled, flowing water","North Fork Touchet River at bridge above Jim Creek",,"N","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"17070102000343",36.52655,8/14/2014 12:00:00 AM,46.21642,-117.84975,"Discrete monitoring point","+/- 40 ft (12 m)","Computer map - GIS-based","",9,"N",40,"E",31,"NE","SE","",,"","","","","","","","","","JJOY0003",,51815483
"32NFT-15.1","N FORK TOUCHET RIVER ALONG FS RD 64","Stream/River","Channeled, flowing water","N Fork Touchet River Reference Site along FS Rd 64",,"N","","Dayton","WA","","COLUMBIA","Walla Walla","Eastern Regional Office",5,16,"17070102000348",77.8985277382677,2/22/2012 12:00:00 AM,46.1515,-117.8062,"Centroid of monitoring area","+/- 10 ft (3 m)","Computer map - GIS-based","",8,"N",40,"E",21,"SE","SE","",,"","","","","","","","","","SCTA0001",,78093838
"32PAT-00.1","Patit Cr @ Front St","Stream/River","Channeled, flowing water","Patit @ Front St Bridge (Below 5ft)",,"N","","","WA","","COLUMBIA","Walla Walla","Eastern Regional Office",5,16,"17070102000351",11.3459543633792,2/22/2012 12:00:00 AM,46.320583,-117.983502,"Discrete monitoring point","+/- 40 ft (12 m)","Computer map - GIS-based","",10,"N",39,"E",30,"NW","NE","",,"","","","","","","","","","ASTO0003, JJOY0003, SCTA0001",,6273861
