"Study_ID","Study_ID_Alias","Study_Name","Linked_Study_IDs","EIM_Data_Entry_Review_Status","Study_Type","Study_Purpose","Field_Collection_Date_Range","Ecology_Contact","Ecology_Program_or_Other_Responsible_Entity","Ecology_Monitoring_Program","Submitting_Organization","Study_QA_Planning_Level","Study_QA_Project_Plan_Description","Study_QA_Assessment_Level","Study_Result_Description","Study_Comment","Ecology_Funding_Number","Ecology_Facility_Site_ID","Ecology_Cleanup_Site_ID","Recommended_QC_Blank_Censor_Factor","EPA_STORET_Submit_Date","Record_Created_On"
"AMS001B","","Statewide River and Stream Ambient Monitoring-Pre 1980","","Reviewed","Routine ambient monitoring","To collect long-term water quality data from a state-wide network of stations. The number of stations monitored and constituents measured were not necessarily consistent among stations and years. (http://www.ecy.wa.gov/programs/eap/fw_riv/rv_main.html)","02/21/1941 - 12/29/1979","Dave Hallock","Ecy Environmental Assessment Program","Freshwater Information Network (FIN)","","LEVEL 1: Informal or no QA documentation.","There was little if any QC performed performed during data collection and analysis and no QC records or specific methods are available. Schedule, specific stations, and constituents monitored may vary.","Level 1:  Data neither Verified nor Assessed for Usability","Data older than 1980, especially nutrient data, should be used with caution.","","",,,"",,
"AMS001D","","Statewide River and Stream Ambient Monitoring-WY1989 through WY1999","","Reviewed","Routine ambient monitoring","To collect long-term water quality data from a state-wide network of stations. Thirteen conventional constituents are measured monthly at 84 stations. Metals are measured bi-monthly at some stations during some years. (http://www.ecy.wa.gov/programs/eap/fw_riv/rv_main.html)","10/03/1988 - 09/29/1999","Dave Hallock","Ecy Environmental Assessment Program","Freshwater Information Network (FIN)","","LEVEL 4: Approved QAPP or SAP.","Ehinger. 1995. Freshwater Ambient Water Quality Monitoring Final Quality Assurance Project Plan updated as Hallock and Ehinger, 2003, Quality Assurance Monitoring Plan, Stream Ambient Water Quality Monitoring.","Level 5:  Data Verified and Assessed for Usability in a Peer-Reviewed Study Report","See Annual Reports, e.g., River and Stream Ambient Monitoring Report for Wateryear 2002, or go to our monitoring web page at http://www.ecy.wa.gov/programs/eap/fw_riv/rv_main.html.","","",,,"",,
"ASTO0003","","Walla Walla River Tributaries Temperature TMDL","","Reviewed","Total Maximum Daily Load (TMDL) development","The purpose of the Walla Walla River Tributaries Temperature TMDl is to characterize the water temperature in the basin and establish load and wasteload allocations for the heat sources to meet water quality standards for surface water temperature.","05/15/2002 - 10/18/2002","Anita Stohr","Ecy Environmental Assessment Program","","","LEVEL 4: Approved QAPP or SAP.","","Level 5:  Data Verified and Assessed for Usability in a Peer-Reviewed Study Report","","","",,,"",,
"FS95362668","","Texaco-Bulk Plant","","Not Reviewed","Contaminated site investigation (characterization, includes RI/FS and remedial design)","Investigation of suspected petroleum contamination","04/06/2017 - 04/11/2017","Scott Tarbutton","Ecy Toxics Cleanup Program, Eastern Region","","GeoEngineers - Spokane WA","LEVEL 3: QAPP, SAP, or Equivalent.","","Level 3:  Data Verified and Assessed for Usability","","","",95362668,11198,"",,6/21/2017 5:18:45 PM
"JJOY0003","","Walla Walla Bacteria and pH TMDL","","Reviewed","Total Maximum Daily Load (TMDL) development","Conduct bacteria and pH TMDLs on 303(d) listed waters along the Walla Walla and Touchet Rivers and Mill Creek.","06/25/2002 - 09/02/2004","Joe Joy","Ecy Environmental Assessment Program","","","LEVEL 4: Approved QAPP or SAP.","","Level 5:  Data Verified and Assessed for Usability in a Peer-Reviewed Study Report","","","",,,"",,
"JROS0025","","Walla Walla Basin Bacteria, pH, and DO TMDL Effectiveness Monitoring","","Reviewed","Total Maximum Daily Load (TMDL) effectiveness monitoring","Collect data and generate reports on the effectiveness of measures taken in WRIA 32 to implement TMDL recommendations","07/08/2014 - 11/04/2015","Daniel Dugger","Ecy Environmental Assessment Program","","WA Department of Ecology","LEVEL 4: Approved QAPP or SAP.","","Level 5:  Data Verified and Assessed for Usability in a Peer-Reviewed Study Report","","","",,,"",,7/29/2014 1:00:30 PM
"KSIN0007","","SW/GW interactions - Walla Walla R. watershed (WRIA 32)","","Reviewed","Total Maximum Daily Load (TMDL) development","This study will assess surface water and groundwater interactions along the mainstem Walla Walla R. and it's major tributaries the Touchet R., Mill Ck., Yellowhawk Ck., and Coppei Ck.","07/08/2002 - 10/17/2002","Kirk Sinclair","Ecy Environmental Assessment Program","","","LEVEL 4: Approved QAPP or SAP.","A formal Quality Assurance Project Plan (QAPP) is available for this study.","Level 5:  Data Verified and Assessed for Usability in a Peer-Reviewed Study Report","","","",,,"",,
"SCTA0001","","Dayton and Waitsburg TMDL Fine-Tuning","","Reviewed","Total Maximum Daily Load (TMDL) development","Investigate surface-water quality, streamflow and the potential impact of WWTPs in the Touchet River Basin.","05/27/2009 - 10/07/2009","Scott Tarbutton","Ecy Environmental Assessment Program","","","LEVEL 4: Approved QAPP or SAP.","Monitoring will take place in the Touchet River Basin, in order to fine-tune the areas near Dayton and Waitsburg included in the Walla Walla River Total Maximum Daily Load (TMDL). Data quality, analytical, and reporting procedures are described.","Level 5:  Data Verified and Assessed for Usability in a Peer-Reviewed Study Report","","","",,,"",,
"WHM_BIO","","Biological Monitoring Program","WHM_BIO_P","Reviewed","Habitat monitoring, including Status and Trends monitoring","The Freshwater Biological Monitoring Program provides bioassessment services of the ambient biological condition of “reference”, or least disturbed, streams across Washington State.  Data is collected using the protocols for narrow or wide rivers outlined by the Status and Trends Monitoring Program for Watershed Health and Salmon Recovery.  This data is used for long term trend analysis, building assessment models, and providing guidance for restoration and other activities.  Biological resources monitored include benthic macroinvertebrates and periphyton, and we anticipate the addition of other communities sensitive to environmental change.  The Department of Ecology has been collecting biological data since 1993.  The Biological Monitoring Program was established in 2009, with an effort to standardize data quality and improve the coverage of our assessment tools for all regions of Washington State.  Data stored in EIM will meet uniform data quality standards to allow comparison of data among sites and projects, and the use of multiple assessment methods in a statistically defensible manner.","07/13/2010 - 10/03/2023","Chad Larson","Ecy Environmental Assessment Program","","","LEVEL 4: Approved QAPP or SAP.","","Level 5:  Data Verified and Assessed for Usability in a Peer-Reviewed Study Report","","","",,,"",,
"WHM_BIO_P","","Biological Montioring Program--Provisional Data","WHM_BIO","Not Reviewed","Habitat monitoring, including Status and Trends monitoring","Data from the current study year is held in this study and then rolled into the final study.  The Freshwater Biological Monitoring Program provides bioassessment services of the ambient biological condition of “reference”, or least disturbed, streams across Washington State.  Data is collected using the protocols for narrow or wide rivers outlined by the Status and Trends Monitoring Program for Watershed Health and Salmon Recovery.  This data is used for long term trend analysis, building assessment models, and providing guidance for restoration and other activities.  Biological resources monitored include benthic macroinvertebrates and periphyton, and we anticipate the addition of other communities sensitive to environmental change.  The Department of Ecology has been collecting biological data since 1993.  The Biological Monitoring Program was established in 2009, with an effort to standardize data quality and improve the coverage of our assessment tools for all regions of Washington State.  Data stored in EIM will meet uniform data quality standards to allow comparison of data among sites and projects, and the use of multiple assessment methods in a statistically defensible manner.","07/06/2021 - 10/03/2023","Chad Larson","Ecy Environmental Assessment Program","","","LEVEL 4: Approved QAPP or SAP.","","Level 1:  Data neither Verified nor Assessed for Usability","","","",,,"",,12/30/2015 10:14:04 AM
"WHM_WAM0","","Washington State Department of Ecology's Status and Trends Habitat Monitoring Project","WHM_WAM0_P","Reviewed","Habitat monitoring, including Status and Trends monitoring","The goal of S&T is to provide quantitative, statistically valid, and consistent estimates of the status and trends in physical, chemical, and biological conditions of Washington State rivers and streams. The data collected can be used to report on the health of salmonid habitat.","07/07/2009 - 10/15/2019","Ed Krynak","Ecy Environmental Assessment Program","","WA Department of Ecology","LEVEL 4: Approved QAPP or SAP.","Publication Number 06-03-203","Level 5:  Data Verified and Assessed for Usability in a Peer-Reviewed Study Report","","","",,,"",,
"WWGWStudy_ECYUSGS_01","","A Cooperative Study of the Walla Walla River Basin Groundwater System, Oregon-Washington","","Not Reviewed","General environmental study","The objective of this study is to develop a three-dimensional quantitative and conceptual understanding of the groundwater-flow system bounded by the areal extent of the Walla Walla River Basin, with emphasis on the interaction of groundwater and surface water and related hydrogeologic controls.","08/10/2020 - 08/02/2023","Scott Tarbutton","Ecy Office of the Columbia River","","","LEVEL 4: Approved QAPP or SAP.","","Level 5:  Data Verified and Assessed for Usability in a Peer-Reviewed Study Report","","Cooperative groundwater study for the Walla Walla River Basin conducted by USGS OR and WA Water Science Centers, Oregon Water Resources Department, and Washington Department of Ecology.","",,,"",,7/5/2021 11:35:43 AM
