"Study_ID","Study_Name","Location_ID","Study_Specific_Location_ID","Location_Name","Instrument_ID","Field_Collection_Type","Field_Collector","Time_Zone","Field_Collection_Date","Field_Collection_Time","Field_Collection_Date_Time","Field_Collection_Reference_Point","Field_Collection_Upper_Depth","Field_Collection_Lower_Depth","Field_Collection_Depth_Units","Sample_Matrix","Sample_Source","Result_Parameter_Name","Result_Value","Result_Value_Units","Result_Data_Qualifier","Result_Data_Qualifier_Description","Result_Method","Result_Method_Description","Result_Comment","Measurement_Interval","Study_ID_Alias","Result_Data_Review_Status","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Calculated_Land_Surface_Elevation_NAVD88_FT","Record_Created_On","Continuous_Result_System_ID"
"JROS0025","Walla Walla Basin Bacteria, pH, and DO TMDL Effectiveness Monitoring","32SFT-08.8","32SFT-08.8","SF TOUCHET R IN RAINWATER WILDLIFE AREA","10221704","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)","07/08/2014",07:30:00,7/8/2014 7:30:00 AM,"",,,"","Water","Fresh/Surface Water","Temperature, water","15.175","deg C","","","TEMPLOGGER","Temperature by data logger","Clear, sunny, tidbit deployed at 07:07 PST. Air temp 18.6 C. Water temp 15.4 C. Sampled at 08:15 PDT.",00:30:00,"","Reviewed",46.1924,-117.9557,,11/6/2017 12:42:54 PM,98002310
"JROS0025","Walla Walla Basin Bacteria, pH, and DO TMDL Effectiveness Monitoring","32SFT-08.8","32SFT-08.8","SF TOUCHET R IN RAINWATER WILDLIFE AREA","10221704","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)","07/08/2014",08:00:00,7/8/2014 8:00:00 AM,"",,,"","Water","Fresh/Surface Water","Temperature, water","15.366","deg C","","","TEMPLOGGER","Temperature by data logger","",00:30:00,"","Reviewed",46.1924,-117.9557,,11/6/2017 12:42:54 PM,98002311
"JROS0025","Walla Walla Basin Bacteria, pH, and DO TMDL Effectiveness Monitoring","32SFT-08.8","32SFT-08.8","SF TOUCHET R IN RAINWATER WILDLIFE AREA","10221704","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)","07/08/2014",08:30:00,7/8/2014 8:30:00 AM,"",,,"","Water","Fresh/Surface Water","Temperature, water","15.676","deg C","","","TEMPLOGGER","Temperature by data logger","",00:30:00,"","Reviewed",46.1924,-117.9557,,11/6/2017 12:42:54 PM,98002312
"JROS0025","Walla Walla Basin Bacteria, pH, and DO TMDL Effectiveness Monitoring","32SFT-00.3","32SFT-00.3","32SFT-00.3","10225298","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)","07/08/2014",08:30:00,7/8/2014 8:30:00 AM,"",,,"","Water","Fresh/Surface Water","Temperature, water","17.368","deg C","","","TEMPLOGGER","Temperature by data logger","Installed tidbit at 08:20 PST, 17.5 C. Sampled at 09:10 PDT.",00:30:00,"","Reviewed",46.29648,-117.95812,,11/6/2017 12:00:28 PM,97978929
"JROS0025","Walla Walla Basin Bacteria, pH, and DO TMDL Effectiveness Monitoring","32SFT-08.8","32SFT-08.8","SF TOUCHET R IN RAINWATER WILDLIFE AREA","10221704","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)","07/08/2014",09:00:00,7/8/2014 9:00:00 AM,"",,,"","Water","Fresh/Surface Water","Temperature, water","16.106","deg C","","","TEMPLOGGER","Temperature by data logger","",00:30:00,"","Reviewed",46.1924,-117.9557,,11/6/2017 12:42:54 PM,98002313
"JROS0025","Walla Walla Basin Bacteria, pH, and DO TMDL Effectiveness Monitoring","32SFT-00.3","32SFT-00.3","32SFT-00.3","10225298","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)","07/08/2014",09:00:00,7/8/2014 9:00:00 AM,"",,,"","Water","Fresh/Surface Water","Temperature, water","17.629","deg C","","","TEMPLOGGER","Temperature by data logger","",00:30:00,"","Reviewed",46.29648,-117.95812,,11/6/2017 12:00:28 PM,97978930
"JROS0025","Walla Walla Basin Bacteria, pH, and DO TMDL Effectiveness Monitoring","WW06TCHT01","32NFT-00.0","NORTH FORK TOUCHET RIVER @ S TOUCHET RD","10225299","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)","07/08/2014",09:00:00,7/8/2014 9:00:00 AM,"",,,"","Water","Fresh/Surface Water","Temperature, water","16.201","deg C","","","TEMPLOGGER","Temperature by data logger","Tidbit installed at 08:50 PST. Water temp 16.3. Sampled at 09:45 PDT. Replicate at 09:50 PDT.",00:30:00,"","Reviewed",46.2975000000008,-117.952900000002,,11/2/2017 3:38:05 PM,97954878
"JROS0025","Walla Walla Basin Bacteria, pH, and DO TMDL Effectiveness Monitoring","32SFT-08.8","32SFT-08.8","SF TOUCHET R IN RAINWATER WILDLIFE AREA","10221704","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)","07/08/2014",09:30:00,7/8/2014 9:30:00 AM,"",,,"","Water","Fresh/Surface Water","Temperature, water","16.558","deg C","","","TEMPLOGGER","Temperature by data logger","",00:30:00,"","Reviewed",46.1924,-117.9557,,11/6/2017 12:42:54 PM,98002314
"JROS0025","Walla Walla Basin Bacteria, pH, and DO TMDL Effectiveness Monitoring","32SFT-00.3","32SFT-00.3","32SFT-00.3","10225298","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)","07/08/2014",09:30:00,7/8/2014 9:30:00 AM,"",,,"","Water","Fresh/Surface Water","Temperature, water","18.033","deg C","","","TEMPLOGGER","Temperature by data logger","",00:30:00,"","Reviewed",46.29648,-117.95812,,11/6/2017 12:00:28 PM,97978931
"JROS0025","Walla Walla Basin Bacteria, pH, and DO TMDL Effectiveness Monitoring","WW06TCHT01","32NFT-00.0","NORTH FORK TOUCHET RIVER @ S TOUCHET RD","10225299","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)","07/08/2014",09:30:00,7/8/2014 9:30:00 AM,"",,,"","Water","Fresh/Surface Water","Temperature, water","16.63","deg C","","","TEMPLOGGER","Temperature by data logger","",00:30:00,"","Reviewed",46.2975000000008,-117.952900000002,,11/2/2017 3:38:05 PM,97954879
